axis,code,label,definition,source,notes
support_label,SP4,Hướng dẫn,Chỉ từng bước hoặc trình tự thao tác tương đối rõ để học sinh làm theo.,P02 scaffolding_function_notes.md,Dùng chủ yếu để giải thích R3 và ghi trong cột note của phiếu tác giả.
support_label,SP5,Làm mẫu,Minh họa một phần lời giải/thao tác khi các mức hỗ trợ nhẹ hơn chưa đủ.,P02 scaffolding_function_notes.md,Dùng chủ yếu để giải thích R3 và ghi trong cột note của phiếu tác giả.
coverage_priority,core,Lõi,Nên có mẫu trong giai đoạn pilot rộng vì ô này đại diện tốt cho năng lực cần đo.,P05 design rule,Dùng để chọn lát cắt pilot; không phải điểm chất lượng.
coverage_priority,recommended,Khuyến nghị,Nên có nếu còn thời gian hoặc cần cân bằng chủ đề/định dạng.,P05 design rule,Dùng để chọn lát cắt pilot; không phải điểm chất lượng.
coverage_priority,optional,Bổ sung,Có ích nhưng không bắt buộc trong đợt đầu.,P05 design rule,Dùng để chọn lát cắt pilot; không phải điểm chất lượng.
coverage_priority,deferred,Để sau,Tạm chưa ưu tiên trong pilot đầu vì ít phù hợp hoặc dễ gây nhiễu thiết kế.,P05 design rule,Dùng để chọn lát cắt pilot; không phải điểm chất lượng.
student_work_type,SWT01,Câu hỏi hoặc nhận định khái niệm,"Học sinh hỏi, nêu lại hoặc nhận định về một khái niệm/thuật ngữ/quy trình trong SGK Tin học 9.",P03 synthesis: dạng bài Tin học + P02 SGK Tin học 9 topic scope,Trục riêng để thể hiện rõ dạng bài làm/câu hỏi/sản phẩm của học sinh; không thay thế task hành vi gia sư.
student_work_type,SWT02,Đáp án trắc nghiệm,Học sinh chọn đáp án trắc nghiệm hoặc hỏi vì sao một lựa chọn đúng/sai.,P03 synthesis: dạng bài Tin học + P02 SGK Tin học 9 topic scope,Trục riêng để thể hiện rõ dạng bài làm/câu hỏi/sản phẩm của học sinh; không thay thế task hành vi gia sư.
student_work_type,SWT03,Câu trả lời tự luận hoặc lập luận ngắn,"Học sinh viết một đoạn giải thích, nhận xét, phân tích, so sánh hoặc lập luận ngắn.",P03 synthesis: dạng bài Tin học + P02 SGK Tin học 9 topic scope,Trục riêng để thể hiện rõ dạng bài làm/câu hỏi/sản phẩm của học sinh; không thay thế task hành vi gia sư.
student_work_type,SWT04,Bài làm cần phản hồi hoặc sửa lỗi,Học sinh đã làm một phần và cần tutor nhận xét đúng/sai/thiếu hoặc chỉ hướng sửa.,P03 synthesis: dạng bài Tin học + P02 SGK Tin học 9 topic scope,Trục riêng để thể hiện rõ dạng bài làm/câu hỏi/sản phẩm của học sinh; không thay thế task hành vi gia sư.
student_work_type,SWT05,Đoạn mã Python hoặc chương trình,"Học sinh đưa đoạn mã/chương trình, có thể đúng, sai, thiếu hoặc cần hoàn thiện.",P03 synthesis: dạng bài Tin học + P02 SGK Tin học 9 topic scope,Trục riêng để thể hiện rõ dạng bài làm/câu hỏi/sản phẩm của học sinh; không thay thế task hành vi gia sư.
student_work_type,SWT06,Thuật toán hoặc mô tả bước giải,"Học sinh đưa ý tưởng thuật toán, mô tả bước giải, quy trình xử lý hoặc sơ đồ logic.",P03 synthesis: dạng bài Tin học + P02 SGK Tin học 9 topic scope,Trục riêng để thể hiện rõ dạng bài làm/câu hỏi/sản phẩm của học sinh; không thay thế task hành vi gia sư.
student_work_type,SWT07,"Bảng tính, công thức hoặc hàm","Học sinh làm việc với bảng tính, công thức, hàm, vùng dữ liệu hoặc lỗi thao tác bảng tính.",P03 synthesis: dạng bài Tin học + P02 SGK Tin học 9 topic scope,Trục riêng để thể hiện rõ dạng bài làm/câu hỏi/sản phẩm của học sinh; không thay thế task hành vi gia sư.
student_work_type,SWT08,Thao tác công cụ hoặc sản phẩm số,"Học sinh tạo/chỉnh sản phẩm số hoặc thao tác với phần mềm mô phỏng, trình bày, dựng video.",P03 synthesis: dạng bài Tin học + P02 SGK Tin học 9 topic scope,Trục riêng để thể hiện rõ dạng bài làm/câu hỏi/sản phẩm của học sinh; không thay thế task hành vi gia sư.
student_work_type,SWT09,"Tình huống đạo đức, pháp luật hoặc văn hoá số","Học sinh phân tích hoặc phản hồi một tình huống về đạo đức, pháp luật, văn hoá số, an toàn hoặc trách nhiệm khi dùng Internet.",P03 synthesis: dạng bài Tin học + P02 SGK Tin học 9 topic scope,Trục riêng để thể hiện rõ dạng bài làm/câu hỏi/sản phẩm của học sinh; không thay thế task hành vi gia sư.
