sample_id,source_file,source_row_number,grade,lesson,position,question,bloom_level
HNMU-G6-R0181-STT12,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,181,6,Bài 13: Tìm kiếm và thay thế,"Luyện tập 2, Trang 66","Thực hiện thay thế toàn bộ các từ ""Sapa"" (viết sai) thành ""Sa Pa"" (viết đúng).",Vận dụng (Thực hiện thay thế lỗi)
HNMU-G6-R0182-STT13,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,182,6,Bài 13: Tìm kiếm và thay thế,"Vận dụng 1, Trang 66","Em có một bài viết về địa danh ""Đà Lạt"". Hãy dùng công cụ để đổi tên địa danh này thành ""Sa Pa"" để có một bài viết mới về Sa Pa.",Vận dụng (Vận dụng linh hoạt)
HNMU-G6-R0183-STT14,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,183,6,Bài 13: Tìm kiếm và thay thế,"Vận dụng 2, Trang 66","Hãy dùng công cụ để tìm xem trong bài viết của em có bị lặp từ ""với"" quá nhiều không và sửa lại cho hợp lý.",Vận dụng (Tự lực hoàn thành)
HNMU-G6-R0212-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,212,6,Bài 16: Các cấu trúc điều khiển,"Mục tiêu, Trang 74",Ba cấu trúc điều khiển cơ bản trong thuật toán là gì?,Nhận biết (Biết được tên các cấu trúc)
HNMU-G6-R0213-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,213,6,Bài 16: Các cấu trúc điều khiển,"Mục 1.b, Trang 75",Hình thoi trong sơ đồ khối cấu trúc rẽ nhánh dùng để làm gì?,Nhận biết (Nhận diện được ý nghĩa ký hiệu)
HNMU-G6-R0214-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,214,6,Bài 16: Các cấu trúc điều khiển,"Mục 1.a, Trang 74",Thế nào là cấu trúc tuần tự?,Nhận biết (Nêu được khái niệm)
HNMU-G6-R0215-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,215,6,Bài 16: Các cấu trúc điều khiển,"Mục 2, Trang 77",Cấu trúc lặp dùng để làm gì?,Nhận biết (Nêu được công dụng)
HNMU-G6-R0216-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,216,6,Bài 16: Các cấu trúc điều khiển,"Mục 1.b, Trang 75",Phân biệt cấu trúc rẽ nhánh dạng thiếu và dạng đủ?,Thông hiểu (Phân biệt được đặc điểm)
HNMU-G6-R0217-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,217,6,Bài 16: Các cấu trúc điều khiển,"Câu hỏi 1, Trang 75",Giải thích tại sao việc đánh răng lại được thực hiện theo cấu trúc tuần tự?,Thông hiểu (Giải thích ví dụ minh họa)
HNMU-G6-R0218-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,218,6,Bài 16: Các cấu trúc điều khiển,"Hoạt động 1, Trang 74","Trong trò chơi ""Đúng hay Sai"", điều kiện để cặp chơi được cộng một điểm là gì?",Thông hiểu (Phân tích điều kiện logic)
HNMU-G6-R0219-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,219,6,Bài 16: Các cấu trúc điều khiển,"Mục 1.b, Trang 75",Tại sao sơ đồ khối lại cần có các mũi tên nối giữa các hình?,Thông hiểu (Mô tả chức năng bộ phận)
HNMU-G6-R0220-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,220,6,Bài 16: Các cấu trúc điều khiển,"Luyện tập 3, Trang 77",Interpret Hình 6.11a và 6.11b: Sơ đồ nào chứa cấu trúc lặp? Giải thích?,Thông hiểu (Đọc hiểu và giải thích)
HNMU-G6-R0221-STT10,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,221,6,Bài 16: Các cấu trúc điều khiển,"Mục 1.a, Trang 74",Điều gì xảy ra nếu một thuật toán tuần tự bị thay đổi thứ tự các bước?,Thông hiểu (Nhận xét về tính logic)
HNMU-G6-R0222-STT11,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,222,6,Bài 16: Các cấu trúc điều khiển,"Vận dụng 2, Trang 75","Hãy mô tả câu ""Nếu trời mưa thì em không đi đá bóng"" bằng sơ đồ khối.",Vận dụng (Tạo được sơ đồ khối)
HNMU-G6-R0223-STT12,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,223,6,Bài 16: Các cấu trúc điều khiển,"Luyện tập 1, Trang 77","Vẽ sơ đồ khối mô tả cấu trúc rẽ nhánh cho tình huống: ""Nếu có tin nhắn từ người lạ yêu cầu gửi thông tin cá nhân thì em không nên gửi"".",Vận dụng (Vận dụng vào tình huống an toàn số)
HNMU-G6-R0224-STT13,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,224,6,Bài 16: Các cấu trúc điều khiển,"Vận dụng 3, Trang 77",Mô tả thuật toán điểm danh của cô giáo bằng sơ đồ khối sử dụng cấu trúc phù hợp.,Vận dụng (Lựa chọn và mô tả cấu trúc phức hợp)
HNMU-G6-R0225-STT14,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,225,6,Bài 16: Các cấu trúc điều khiển,"Vận dụng 1, Trang 77",Sửa nhận xét của bạn An về Hình 6.12a và 6.12b cho đúng.,Vận dụng (Phân tích và sửa lỗi sơ đồ)
HNMU-G6-R0030-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,30,6,Bài 3. Thông tin trong máy tinh,"Mục 1, Trang 14 SGK",Đơn vị nhỏ nhất để đo dung lượng thông tin là gì?,Nhận biết (Nêu được tên đơn vị)
HNMU-G6-R0031-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,31,6,Bài 3. Thông tin trong máy tinh,Mục 1. Trang 14 SGK,Kí hiệu 0 và 1 được gọi là gì?,Nhận biết (Biết được tên gọi)
HNMU-G6-R0032-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,32,6,Bài 3. Thông tin trong máy tinh,Mục 2. Trang 12 SGK,Một Byte bằng bao nhiêu bit?,Nhận biết (Nêu được độ lớn đơn vị)
HNMU-G6-R0033-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,33,6,Bài 3. Thông tin trong máy tinh,"Mục 1, Trang 14 SGK",Thông tin trong máy tính được biểu diễn bằng gì?,Nhận biết (Nhận ra dạng biểu diễn)
HNMU-G6-R0034-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,34,6,Bài 3. Thông tin trong máy tinh,"Mục 1, trang 12 SGK",Tại sao máy tính chỉ sử dụng hai kí hiệu 0 và 1 để biểu diễn thông tin?,Thông hiểu (Giải thích được lý do)
HNMU-G6-R0035-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,35,6,Bài 3. Thông tin trong máy tinh,"Mục 2, Trang 14 SGK",1 MB tương đương với khoảng bao nhiêu byte?,Thông hiểu (Giải thích được thông số)
HNMU-G6-R0036-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,36,6,Bài 3. Thông tin trong máy tinh,Mục 2. Trang 15 SGK,Dung lượng lưu trữ của một thiết bị là gì?,Thông hiểu (Trình bày được khái niệm)
HNMU-G6-R0037-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,37,6,Bài 3. Thông tin trong máy tinh,"Luyện tập 1, Trang 15 SGK",Một GB tương đương với khoảng bao nhiêu byte?,Thông hiểu (Giải thích được thông số)
HNMU-G6-R0038-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,38,6,Bài 3. Thông tin trong máy tinh,Hoạt đông 1. Trang 12 SGK,"Khi mã hóa một số lớn hơn, dãy bit nhận được sẽ như thế nào?",Thông hiểu (Nêu được mối quan hệ)
HNMU-G6-R0039-STT10,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,39,6,Bài 3. Thông tin trong máy tinh,"Hoạt động 1, Ttrang 12 SGK",Việc chuyển thông tin về dạng dãy bit được gọi là gì?,Thông hiểu (Hiểu khái niệm số hóa)
HNMU-G6-R0040-STT11,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,40,6,Bài 3. Thông tin trong máy tinh,"Luyện tập 2, Trang 15 SGK",Một bức ảnh 2 MB. Thẻ nhớ trống 4 GB chứa được tối đa bao nhiêu ảnh?,Vận dụng (Chuyển đổi giữa các đơn vị)
HNMU-G6-R0041-STT12,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,41,6,Bài 3. Thông tin trong máy tinh,"Vận dụng 2, Trang 15 SGK",Thực hiện mã hóa số 5 thành dãy bit (sử dụng 3 bit).,Vận dụng (Thực hiện thao tác mã hóa)
HNMU-G6-R0042-STT13,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,42,6,Bài 3. Thông tin trong máy tinh,"Vận dụng 1, Trang 15 SGK",Làm thế nào để kiểm tra dung lượng còn trống của một ổ đĩa máy tính?,Vận dụng (Thực hiện thao tác thực tế)
HNMU-G6-R0043-STT14,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,43,6,Bài 3. Thông tin trong máy tinh,"Mục 1, Trang 13 SGK",Chuyển một hình ảnh đen trắng đơn giản (8x8 ô) thành dãy bit.,Vận dụng (Mã hóa hình ảnh)
HNMU-G6-R0072-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,72,6,Bài 6: Mạng thông tin toàn cầu,Mục 1. Kiến thức mới (Tr. 27),Mạng thông tin toàn cầu (WWW) là gì?,Nhận biết (Nêu được khái niệm)
HNMU-G6-R0073-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,73,6,Bài 6: Mạng thông tin toàn cầu,Mục 1. Kiến thức mới (Tr. 27),Website là gì?,Nhận biết (Biết được khái niệm)
HNMU-G6-R0074-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,74,6,Bài 6: Mạng thông tin toàn cầu,Mục 1. Kiến thức mới (Tr. 27),Siêu văn bản (Hypertext) là gì?,Nhận biết (Biết được khái niệm)
HNMU-G6-R0075-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,75,6,Bài 6: Mạng thông tin toàn cầu,Câu hỏi (Tr. 28),Trình duyệt web là gì?,Nhận biết (Nêu tên thiết bị/phần mềm)
HNMU-G6-R0076-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,76,6,Bài 6: Mạng thông tin toàn cầu,Mục 1. Kiến thức mới (Tr. 27),Địa chỉ website dùng để làm gì?,Thông hiểu (Giải thích chức năng)
HNMU-G6-R0077-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,77,6,Bài 6: Mạng thông tin toàn cầu,Hoạt động 1 (Tr. 27),Thông tin trong một cuốn sách được tổ chức khác gì với thông tin trên Internet?,Thông hiểu (So sánh được)
HNMU-G6-R0078-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,78,6,Bài 6: Mạng thông tin toàn cầu,Mục 2. Kiến thức mới (Tr. 28),Tại sao trình duyệt web lại quan trọng?,Thông hiểu (Giải thích sự cần thiết)
HNMU-G6-R0079-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,79,6,Bài 6: Mạng thông tin toàn cầu,Hình 3.1 (Tr. 27),Trang chủ (Homepage) của một website có vai trò gì?,Thông hiểu (Mô tả chức năng)
HNMU-G6-R0080-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,80,6,Bài 6: Mạng thông tin toàn cầu,Luyện tập 1 (Tr. 31),"Để truy cập một trang web, em cần những điều kiện gì?",Thông hiểu (Phát biểu được nhiệm vụ)
HNMU-G6-R0081-STT10,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,81,6,Bài 6: Mạng thông tin toàn cầu,Kiểm tra (SGV Tr. 47),Vùng dữ liệu trên trang tính có hình gì? (Câu hỏi ôn tập),Thông hiểu (Nhận biết hình dạng)
HNMU-G6-R0082-STT11,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,82,6,Bài 6: Mạng thông tin toàn cầu,Vận dụng 1 (Tr. 31),Hãy sử dụng trình duyệt để tìm thông tin thời tiết ngày mai tại nơi em sống.,Vận dụng (Sử dụng công cụ tìm kiếm)
HNMU-G6-R0083-STT12,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,83,6,Bài 6: Mạng thông tin toàn cầu,Vận dụng 2 (Tr. 31),"Hãy tìm một từ điển trực tuyến và tra nghĩa của từ ""Internet"".",Vận dụng (Khai thác thông tin)
HNMU-G6-R0084-STT13,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,84,6,Bài 6: Mạng thông tin toàn cầu,Thực hành (Tr. 29),Làm thế nào để lưu lại địa chỉ của một trang web hay để lần sau truy cập nhanh hơn?,Vận dụng (Tạo được sản phẩm số - Bookmark)
HNMU-G6-R0085-STT14,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,85,6,Bài 6: Mạng thông tin toàn cầu,Vận dụng 3 (SGV Tr. 47),Hãy tìm thông tin về địa chỉ và số điện thoại của trường em trên Internet.,Vận dụng (Thực hiện nhiệm vụ giáo viên đặt ra)
HNMU-G6-R0114-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,114,6,Bài 9: An toàn thông tin trên Internet,Mục 1. Kiến thức mới (Tr. 42),Thông tin cá nhân là gì?,Nhận biết (Nêu được khái niệm)
HNMU-G6-R0115-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,115,6,Bài 9: An toàn thông tin trên Internet,Mục 1. Kiến thức mới (Tr. 42),Nêu hai tác hại chính khi sử dụng Internet không an toàn.,Nhận biết (Nêu được tác hại)
HNMU-G6-R0116-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,116,6,Bài 9: An toàn thông tin trên Internet,Hộp kiến thức (Tr. 43),Kể tên 3 biện pháp bảo vệ thông tin cá nhân.,Nhận biết (Nêu được quy trình/cách)
HNMU-G6-R0117-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,117,6,Bài 9: An toàn thông tin trên Internet,Mục 1. Tình huống (Tr. 42),Tại sao bạn Minh trong tình huống lại bị mất dữ liệu ảnh?,Thông hiểu (Giải thích được lý do)
HNMU-G6-R0118-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,118,6,Bài 9: An toàn thông tin trên Internet,Hoạt động 1 (Tr. 42),"Nếu thông tin cá nhân bị đánh cắp, kẻ xấu có thể làm gì?",Thông hiểu (Mô tả được hệ quả)
HNMU-G6-R0119-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,119,6,Bài 9: An toàn thông tin trên Internet,Mục 2. Mật khẩu (Tr. 43),Tại sao không nên dùng ngày sinh làm mật khẩu?,Thông hiểu (Giải thích sự cần thiết)
HNMU-G6-R0120-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,120,6,Bài 9: An toàn thông tin trên Internet,Câu hỏi 1 (Tr. 43),Lời khuyên nào sai khi bảo vệ máy tính: A. Đừng mở tệp đính kèm từ người lạ. B. Luôn đăng xuất. C. Chẳng cần làm gì vì máy có sẵn thiết bị bảo vệ. D. Cài phần mềm diệt virus.,Thông hiểu (Phân biệt được hành vi đúng/sai)
HNMU-G6-R0121-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,121,6,Bài 9: An toàn thông tin trên Internet,Luyện tập 1 (Tr. 46),Việc nào có thể khiến em gặp nguy cơ bị hại: A. Tải phần mềm miễn phí. B. Mở liên kết từ người lạ. C. Thay đổi mật khẩu định kỳ.,Thông hiểu (Nhận biết hành vi nguy cơ)
HNMU-G6-R0122-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,122,6,Bài 9: An toàn thông tin trên Internet,Luyện tập 2 (Tr. 46),Tình huống nào là rủi ro khi dùng Internet? A. Máy hỏng do virus. B. Bị bạn quen lừa đảo. C. Nghiện mạng xã hội. D. Tất cả các phương án trên.,Thông hiểu (Mô tả được các dạng rủi ro)
HNMU-G6-R0123-STT10,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,123,6,Bài 9: An toàn thông tin trên Internet,Câu hỏi 2 (SGV Tr. 60),Internet là mạng kết nối các máy tính ở đâu? A. Trong trường học. B. Trong một nước. C. Trên toàn thế giới.,Thông hiểu (Nhận biết phạm vi)
HNMU-G6-R0124-STT11,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,124,6,Bài 9: An toàn thông tin trên Internet,Vận dụng 1 (Tr. 46),Em hãy nêu một số cách nhận diện những trò lừa đảo trên Internet.,Vận dụng (Nhận diện được thông điệp xấu)
HNMU-G6-R0125-STT12,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,125,6,Bài 9: An toàn thông tin trên Internet,Vận dụng 2 (Tr. 46),Em sẽ làm gì khi phát hiện bạn bè có nguy cơ bị hại khi truy cập mạng?,Vận dụng (Thực hiện được biện pháp phòng ngừa)
HNMU-G6-R0126-STT13,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,126,6,Bài 9: An toàn thông tin trên Internet,Câu hỏi 5 (SGV Tr. 60),"Thay từ thích hợp: Thông tin cá nhân cần được ...(1)..., không tiết lộ trên mạng cho người lạ.",Vận dụng (Xác định lựa chọn phù hợp)
HNMU-G6-R0127-STT14,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,127,6,Bài 9: An toàn thông tin trên Internet,Vận dụng 3 (Tr. 46),Em nên làm gì để bảo vệ thông tin cá nhân và tài khoản của mình?,Vận dụng (Thực hiện nhiệm vụ giáo viên đặt ra)
HNMU-G7-R0142-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,142,7,Bài 11: Tạo bài trình chiếu,Mục 1. Trang 64,Nêu được các chức năng cơ bản của phần mềm trình chiếu.,Nhận biết (Nêu được)
HNMU-G7-R0143-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,143,7,Bài 11: Tạo bài trình chiếu,Mục 1. Trang 65,Kể tên được các ứng dụng thực tế của phần mềm trình chiếu.,Nhận biết (Nêu/Kể tên được)
HNMU-G7-R0144-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,144,7,Bài 11: Tạo bài trình chiếu,Mục 2. Trang 65,Nhận biết được trang đầu tiên của bài trình chiếu gọi là gì.,Nhận biết (Nhận biết được)
HNMU-G7-R0145-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,145,7,Bài 11: Tạo bài trình chiếu,Mục 2. Trang 65 (Hộp kiến thức),Nêu được tác dụng của mẫu bố trí (layout) trên trang chiếu.,Nhận biết (Nêu được)
HNMU-G7-R0146-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,146,7,Bài 11: Tạo bài trình chiếu,Mục 1. Trang 64 (Câu hỏi sinh thêm),Giải thích được lợi thế của phần mềm trình chiếu so với bảng phấn.,Thông hiểu (Giải thích được)
HNMU-G7-R0147-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,147,7,Bài 11: Tạo bài trình chiếu,Câu hỏi củng cố. Trang 65,Phân tích được những hành động ứng dụng đúng phần mềm trình chiếu.,Thông hiểu (Phân tích được)
HNMU-G7-R0148-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,148,7,Bài 11: Tạo bài trình chiếu,Mục 2. Trang 65,Giải thích được ý nghĩa và vai trò của trang tiêu đề.,Thông hiểu (Giải thích được)
