sample_id,grade,lesson,review_reason,priority,suggested_question_to_hnmu,related_criterion_ids,evidence_fragment_ids,checked_by,checked_at,source_shard
HNMU-G6-R0211-STT14,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0190,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0016-STT1,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0017,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0017-STT2,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0018,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0018-STT3,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07;RAW-DUP-04,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07;RAW-DUP-04,LM-SGK-TIN6-0001#F0018,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0019-STT4,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0020,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0020-STT5,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0014,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0021-STT6,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0020,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0022-STT7,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0014,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0023-STT8,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0014,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0024-STT9,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0014,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0025-STT10,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0014,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0026-STT11,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0014,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0027-STT12,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0014,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0028-STT13,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0014,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0029-STT14,6,Bài 2. Xử lí dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0014,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0058-STT1,6,Bài 5: Internet,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0054,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0059-STT2,6,Bài 5: Internet,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0056,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
