sample_id,actual_decision,expected_decision,actual_confidence_score,expected_confidence_score,decision_is_consistent,confidence_is_consistent,blocking_criterion_ids
HNMU-G6-R0016-STT1,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0017-STT2,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0018-STT3,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07;RAW-DUP-04
HNMU-G6-R0019-STT4,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0020-STT5,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0021-STT6,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0022-STT7,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0023-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0024-STT9,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0025-STT10,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0026-STT11,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0027-STT12,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0028-STT13,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0029-STT14,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0058-STT1,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0059-STT2,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0060-STT3,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0061-STT4,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0062-STT5,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0063-STT6,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0064-STT7,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0065-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0066-STT9,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0067-STT10,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0068-STT11,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0069-STT12,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0070-STT13,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0071-STT14,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0100-STT1,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-DUP-04
HNMU-G6-R0101-STT2,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0102-STT3,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0103-STT4,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0104-STT5,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0105-STT6,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0106-STT7,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0107-STT8,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0108-STT9,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0109-STT10,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0110-STT11,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02;RAW-DUP-04
HNMU-G6-R0111-STT12,need_human_review,need_human_review,0.55,0.55,true,true,RAW-CON-02;RAW-CON-04;RAW-CON-06
HNMU-G6-R0112-STT13,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0113-STT14,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G7-R0128-STT1,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-04;RAW-CON-05;RAW-CON-06;RAW-CON-07;RAW-DUP-04
HNMU-G7-R0129-STT2,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-04;RAW-CON-05;RAW-CON-06;RAW-CON-07
HNMU-G7-R0130-STT3,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-04;RAW-CON-05;RAW-CON-06;RAW-CON-07
HNMU-G7-R0131-STT4,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0132-STT5,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0133-STT6,need_human_review,need_human_review,0.55,0.55,true,true,RAW-CON-02;RAW-CON-04;RAW-CON-06
HNMU-G7-R0134-STT7,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0135-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0136-STT9,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0137-STT10,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-04;RAW-CON-05;RAW-CON-06;RAW-CON-07;RAW-DUP-04
HNMU-G7-R0138-STT11,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0139-STT12,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0140-STT13,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-DUP-04
HNMU-G7-R0141-STT14,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0170-STT1,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0171-STT2,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0172-STT3,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0173-STT4,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0174-STT5,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0175-STT6,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0176-STT7,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G7-R0177-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0178-STT9,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0179-STT10,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0180-STT11,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0181-STT12,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0182-STT13,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0183-STT14,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0212-STT1,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0213-STT2,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0214-STT3,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0215-STT4,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0216-STT5,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0217-STT6,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0218-STT7,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0219-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0220-STT9,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0221-STT10,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0222-STT11,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0223-STT12,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0224-STT13,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G7-R0225-STT14,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0044-STT1,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0045-STT2,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0046-STT3,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-DUP-04
HNMU-G7-R0047-STT4,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0048-STT5,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0049-STT6,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0050-STT7,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0051-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0052-STT9,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G7-R0053-STT10,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0054-STT11,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-04;RAW-CON-06
HNMU-G7-R0055-STT12,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0056-STT13,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-04;RAW-CON-06
HNMU-G7-R0057-STT14,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0086-STT1,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07;RAW-DUP-04
HNMU-G7-R0087-STT2,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0088-STT3,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0089-STT4,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0090-STT5,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0091-STT6,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0092-STT7,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0093-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0094-STT9,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0095-STT10,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G7-R0096-STT11,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G7-R0097-STT12,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G7-R0098-STT13,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G7-R0099-STT14,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02;RAW-DUP-04
HNMU-G6-R0128-STT1,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0129-STT2,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-05;RAW-DUP-04
HNMU-G6-R0130-STT3,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0131-STT4,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0132-STT5,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0133-STT6,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0134-STT7,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0135-STT8,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0136-STT9,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0137-STT10,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0138-STT11,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0139-STT12,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0140-STT13,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0141-STT14,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0170-STT1,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0171-STT2,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0172-STT3,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0173-STT4,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0174-STT5,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0175-STT6,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0176-STT7,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0177-STT8,need_human_review,need_human_review,0.56,0.56,true,true,RAW-PED-02
HNMU-G6-R0178-STT9,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0179-STT10,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0180-STT11,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0181-STT12,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0182-STT13,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0183-STT14,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-04
HNMU-G6-R0212-STT1,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0213-STT2,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0214-STT3,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0215-STT4,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0216-STT5,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0217-STT6,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0218-STT7,need_human_review,need_human_review,0.55,0.55,true,true,RAW-CON-05
HNMU-G6-R0219-STT8,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0220-STT9,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0221-STT10,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0222-STT11,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0223-STT12,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0224-STT13,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0225-STT14,need_human_review,need_human_review,0.57,0.57,true,true,RAW-CON-05
HNMU-G6-R0030-STT1,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0031-STT2,need_human_review,need_human_review,0.56,0.56,true,true,RAW-PED-02;RAW-DUP-04
HNMU-G6-R0032-STT3,need_human_review,need_human_review,0.54,0.54,true,true,RAW-PED-02;RAW-DUP-04
HNMU-G6-R0033-STT4,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0034-STT5,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0035-STT6,need_human_review,need_human_review,0.55,0.55,true,true,RAW-CON-05;RAW-DUP-04
HNMU-G6-R0036-STT7,need_human_review,need_human_review,0.55,0.55,true,true,RAW-CON-05
HNMU-G6-R0037-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-STR-04;RAW-CON-05;RAW-PED-04;RAW-DUP-04
HNMU-G6-R0038-STT9,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0039-STT10,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-05;RAW-PED-02;RAW-DUP-04
HNMU-G6-R0040-STT11,need_human_review,need_human_review,0.57,0.57,true,true,RAW-CON-05
HNMU-G6-R0041-STT12,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0042-STT13,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0043-STT14,need_human_review,need_human_review,0.56,0.56,true,true,RAW-CON-05;RAW-PED-02
HNMU-G6-R0072-STT1,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0073-STT2,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0074-STT3,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0075-STT4,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0076-STT5,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0077-STT6,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0078-STT7,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-04
HNMU-G6-R0079-STT8,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0080-STT9,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0081-STT10,need_human_review,need_human_review,0.40,0.40,true,true,RAW-CON-01;RAW-CON-02;RAW-CON-03;RAW-CON-04;RAW-CON-06;RAW-CON-07;RAW-PED-06;RAW-DUP-04
HNMU-G6-R0082-STT11,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0083-STT12,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0084-STT13,need_human_review,need_human_review,0.56,0.56,true,true,RAW-CON-05;RAW-PED-02
HNMU-G6-R0085-STT14,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0114-STT1,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0115-STT2,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-05
HNMU-G6-R0116-STT3,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0117-STT4,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0118-STT5,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0119-STT6,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0120-STT7,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0121-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-04
HNMU-G6-R0122-STT9,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-04;RAW-DUP-04
HNMU-G6-R0123-STT10,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-04;RAW-DUP-04
HNMU-G6-R0124-STT11,pass,pass,0.64,0.64,true,true,
HNMU-G6-R0125-STT12,need_human_review,need_human_review,0.57,0.57,true,true,RAW-CON-05
HNMU-G6-R0126-STT13,need_human_review,need_human_review,0.57,0.57,true,true,RAW-CON-05;RAW-DUP-04
HNMU-G6-R0127-STT14,need_human_review,need_human_review,0.57,0.57,true,true,RAW-CON-05;RAW-DUP-04
HNMU-G7-R0142-STT1,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0143-STT2,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0144-STT3,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0145-STT4,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0146-STT5,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0147-STT6,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0148-STT7,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0149-STT8,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0150-STT9,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0151-STT10,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0152-STT11,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0153-STT12,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0154-STT13,need_human_review,need_human_review,0.57,0.57,true,true,RAW-CON-05
HNMU-G7-R0155-STT14,need_human_review,need_human_review,0.57,0.57,true,true,RAW-CON-05
HNMU-G7-R0184-STT1,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0185-STT2,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0186-STT3,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0187-STT4,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0188-STT5,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0189-STT6,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0190-STT7,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0191-STT8,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0192-STT9,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0193-STT10,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0194-STT11,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0195-STT12,need_human_review,need_human_review,0.57,0.57,true,true,RAW-CON-05
HNMU-G7-R0196-STT13,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0197-STT14,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0016-STT1,need_human_review,need_human_review,0.56,0.56,true,true,RAW-PED-02
HNMU-G7-R0017-STT2,need_human_review,need_human_review,0.54,0.54,true,true,RAW-PED-02;RAW-DUP-04
HNMU-G7-R0018-STT3,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0019-STT4,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0020-STT5,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0021-STT6,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0022-STT7,need_human_review,need_human_review,0.55,0.55,true,true,RAW-CON-05
HNMU-G7-R0023-STT8,need_human_review,need_human_review,0.55,0.55,true,true,RAW-CON-05
HNMU-G7-R0024-STT9,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0025-STT10,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0026-STT11,pass,pass,0.64,0.64,true,true,
