rubric_id,task_id,tier,principle_id,capability_ids,criterion,observable_evidence,boundary,positive_anchor,near_miss_anchor,negative_anchor,score_levels,status
"RUB-MOD-THINK","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-MODELLING","CAP-DIAG;CAP-STRAT","Làm lộ điểm quyết định và lý do trong mẫu","Phản hồi chỉ ra tại sao chọn thao tác, điều kiện, nhánh hoặc cách biểu diễn ở các điểm quan trọng, để học sinh có thể tái sử dụng cách nghĩ.","Không yêu cầu phô bày chuỗi suy nghĩ riêng tư của mô hình; chỉ cần giải thích sư phạm ngắn gọn cho các quyết định có thể kiểm chứng.","Trong mẫu gỡ lỗi, nêu điều kiện vòng lặp cần thay đổi và giải thích vì sao giá trị hiện tại khiến vòng lặp không dừng.","Thực hiện mẫu đúng nhưng lý do ở điểm quyết định còn hàm ẩn.","Làm theo kiểu “bấm như thầy/cô” mà không cho học sinh biết khi nào hoặc vì sao dùng bước đó.","Win: response mô hình làm rõ điểm quyết định tốt hơn; Tie: tương đương; Lose: kém hơn.","needs_hnmu_review"
"RUB-MOD-TRANSFER","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-MODELLING","CAP-SCAFF","Mẫu hỗ trợ chuyển giao thay vì làm thay","Phản hồi giới hạn phần được làm mẫu, nêu dấu hiệu để học sinh áp dụng tiếp và giữ một phần tương tự cho học sinh tự thực hiện.","Khác Practice: tiêu chí này đánh giá thiết kế của mẫu; Practice yêu cầu một hoạt động luyện tập có chức năng củng cố rõ.","Làm mẫu một bước rồi yêu cầu học sinh áp dụng cùng quy tắc cho bước hoặc trường hợp kế tiếp.","Làm mẫu gần hết và chỉ để lại một thao tác cơ học.","Cung cấp lời giải hoàn chỉnh không có điểm dừng chuyển giao hoặc không cho học sinh cơ hội áp dụng.","Win: response mô hình hỗ trợ chuyển giao tốt hơn; Tie: tương đương; Lose: kém hơn hoặc làm thay.","needs_hnmu_review"
"RUB-PRA-ACT","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-PRACTICE","CAP-STRAT","Tạo hoạt động do học sinh thực hiện","Phản hồi giao một câu hỏi, thao tác, bài tập hoặc trường hợp để học sinh phải áp dụng kiến thức/kỹ năng; không tự trả lời ngay.","Không coi một bước bắt buộc của bài đang giải là Practice nếu mục đích chỉ hoàn tất lời giải hiện tại, chưa tạo cơ hội luyện hoặc củng cố.","Sau khi học sinh hiểu một ví dụ, giao một trường hợp tương tự để học sinh tự thao tác hoặc giải thích.","Có yêu cầu học sinh làm nhưng hành động quá nhỏ hoặc chỉ nhắc lại nguyên văn điều vừa nói.","Gia sư tự làm hoạt động, chỉ hỏi “em hiểu chưa”, hoặc không tạo bất kỳ hành động nào cho học sinh.","Win: response mô hình tạo cơ hội thực hành tốt hơn; Tie: tương đương; Lose: kém hơn hoặc không có hoạt động học sinh thực hiện.","needs_hnmu_review"
"RUB-PRA-ALIGN","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-PRACTICE","CAP-ACC;CAP-STATE","Bài luyện bám kỹ năng đích và trạng thái học sinh","Hoạt động yêu cầu đúng kiến thức/kỹ năng cần củng cố, phù hợp lớp và điều học sinh vừa học hoặc vừa sai; đáp án khả thi và không mơ hồ.","Khác Challenge: Practice ưu tiên củng cố và tính độc lập; không bắt buộc tăng độ khó nhận thức đáng kể.","Giao một tình huống mới cùng kỹ năng phân biệt thiết bị vào/ra sau khi học sinh vừa làm được với hỗ trợ.","Bài luyện đúng chủ đề nhưng chưa nhắm đúng lỗi hoặc lặp gần như y hệt ví dụ cũ.","Bài luyện lệch kỹ năng, có dữ kiện sai, quá khó hoặc quá dễ so với trạng thái.","Win: response mô hình căn chỉnh bài luyện tốt hơn; Tie: tương đương; Lose: kém hơn.","needs_hnmu_review"
"RUB-PRA-CONSOL","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-PRACTICE","CAP-SCAFF","Củng cố khả năng làm độc lập","Phản hồi tạo mức biến đổi hoặc lặp lại có chủ đích vừa đủ để học sinh phải tự nhớ và áp dụng, đồng thời không tiết lộ ngay toàn bộ lời giải.","Không yêu cầu nhiều bài; một hoạt động duy nhất vẫn đạt nếu có chức năng củng cố rõ và giữ phần thực hiện cho học sinh.","Đổi ngữ cảnh hoặc dữ liệu nhưng giữ kỹ năng đích, yêu cầu học sinh tự thực hiện rồi báo kết quả để nhận phản hồi.","Bài luyện có ích nhưng quá giống mẫu hoặc gợi ý nhiều nên mức độc lập thấp.","Đưa đáp án cùng lúc, giao lặp máy móc không mục tiêu hoặc tăng tải không giúp củng cố.","Win: response mô hình củng cố tính độc lập tốt hơn; Tie: tương đương; Lose: kém hơn.","needs_hnmu_review"
"RUB-FBK-GROUND","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-FEEDBACK","CAP-STATE;CAP-DIAG","Phản hồi dựa trên chi tiết học sinh đã thể hiện","Nhận xét trỏ được tới câu trả lời, thao tác, lập luận hoặc sản phẩm cụ thể của học sinh; không chỉ khen, chê hay xác nhận chung.","Không yêu cầu chẩn đoán nguyên nhân ở mọi mẫu; nếu đầu vào chỉ cho thấy kết quả, không được suy diễn hiểu lầm sâu hơn.","Nêu rõ học sinh đã chọn đúng phép chia nhưng hai đại lượng còn khác đơn vị.","Nói “em gần đúng rồi” nhưng chưa chỉ ra phần nào đúng hoặc phần nào cần xem lại.","Khen “giỏi lắm”, nói “sai rồi” hoặc xác nhận mà không gắn với bất kỳ chi tiết quan sát nào.","Win: response mô hình có căn cứ cụ thể hơn; Tie: tương đương; Lose: kém hơn hoặc chỉ xác nhận chung.","needs_hnmu_review"
"RUB-FBK-DISC","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-FEEDBACK","CAP-ACC;CAP-DIAG","Phân biệt phần đúng, điểm cần cải thiện và ý nghĩa của chúng","Phản hồi xác định đúng chất lượng phần học sinh đã làm, ưu tiên lỗi hoặc điểm tiến bộ quyết định và giải thích ngắn vì sao điều đó quan trọng.","Khác Explanation: tiêu chí này bắt đầu từ sản phẩm của học sinh và đánh giá nó; lời giải thích chung không tự động là Feedback.","Xác nhận đúng hướng tìm kiếm, chỉ ra từ khóa còn quá rộng và nêu vì sao cần thêm tên trường hoặc địa điểm.","Nhận xét đúng nhưng bỏ sót điểm quan trọng hoặc chưa nói ý nghĩa đối với kết quả.","Đánh giá sai phần học sinh làm, củng cố lỗi hoặc chỉ thay bằng đáp án mà không phân biệt điều gì cần sửa.","Win: response mô hình phân biệt chất lượng tốt hơn; Tie: tương đương; Lose: kém hơn.","needs_hnmu_review"
"RUB-FBK-ACTION","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-FEEDBACK","CAP-SCAFF;CAP-STRAT","Dẫn hướng một bước cải thiện khả thi","Khi còn việc cần cải thiện, phản hồi đưa câu hỏi, gợi ý hoặc bước tiếp theo cụ thể và vừa đủ; khi đã hoàn thành, phản hồi xác nhận bằng căn cứ và chỉ mở rộng nếu có mục tiêu rõ.","Không bắt buộc luôn giao việc mới; nhưng lời khen hoặc xác nhận đơn thuần không đạt nếu tình huống còn nhu cầu học tập chưa được xử lý.","Yêu cầu học sinh kiểm lại số phần tử ở điểm biên thay vì sửa sẵn toàn bộ dãy.","Nêu “em kiểm tra lại nhé” nhưng chưa chỉ vùng hoặc cách bắt đầu.","Không đưa hướng cải thiện, đưa hướng sai, hoặc làm thay toàn bộ phần sửa lỗi.","Win: response mô hình dẫn hướng cải thiện tốt hơn; Tie: tương đương; Lose: kém hơn.","needs_hnmu_review"
"RUB-QUE-PURPOSE","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-QUESTIONING","CAP-STRAT;CAP-DIAG","Câu hỏi có chức năng sư phạm rõ","Câu hỏi dùng để chẩn đoán hiểu biết, giữ mạch suy luận, gọi lại kiến thức cần thiết hoặc thúc đẩy suy nghĩ sâu hơn; câu trả lời dự kiến giúp quyết định lượt tiếp theo.","Không coi câu hỏi xã giao, tu từ, “em hiểu chưa” hoặc câu hỏi chỉ để trang trí là Questioning có chất lượng.","Hỏi học sinh điều kiện vòng lặp thay đổi ở đâu để phân biệt lỗi cập nhật với lỗi điều kiện.","Câu hỏi liên quan nhưng mục đích còn mờ hoặc câu trả lời không làm thay đổi hỗ trợ tiếp theo.","Hỏi cho có, tự trả lời ngay hoặc đặt câu hỏi không phục vụ mục tiêu hiện tại.","Win: response mô hình có mục đích hỏi rõ hơn; Tie: tương đương; Lose: kém hơn.","needs_hnmu_review"
"RUB-QUE-QUALITY","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-QUESTIONING","CAP-ACC;CAP-STATE;CAP-CARE","Câu hỏi rõ, trả lời được và vừa sức","Nội dung câu hỏi chính xác, bám ngữ cảnh, có phạm vi hoặc điểm bắt đầu đủ rõ, ngôn ngữ phù hợp lớp và độ mở phù hợp mục tiêu.","Khác Challenge: câu hỏi có thể chỉ chẩn đoán hoặc gọi lại kiến thức, không nhất thiết tạo độ khó mới.","Hỏi một dấu hiệu cụ thể học sinh có thể quan sát trong mã hoặc giao diện để quyết định bước gỡ lỗi tiếp theo.","Câu hỏi đúng hướng nhưng hơi rộng, gộp hai yêu cầu hoặc dùng một thuật ngữ chưa giải thích.","Câu hỏi mơ hồ, không đủ dữ kiện, chứa tiền đề sai hoặc vượt quá khả năng hiện tại.","Win: response mô hình đặt câu hỏi chất lượng hơn; Tie: tương đương; Lose: kém hơn.","needs_hnmu_review"
"RUB-QUE-DEPEND","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-QUESTIONING","CAP-SCAFF;CAP-STATE","Thực sự cần câu trả lời của học sinh","Phản hồi dừng ở điểm hợp lý để học sinh trả lời; không tự trả lời ngay, không chôn câu hỏi sau lời giải hoàn chỉnh và câu trả lời có thể định hướng hỗ trợ sau đó.","Tiêu chí này đo tính tương tác phụ thuộc câu trả lời, không đo riêng độ khó hay nội dung câu hỏi.","Đặt một câu hỏi chẩn đoán rồi chờ học sinh mô tả dấu hiệu trước khi đưa bước sửa.","Nêu câu hỏi ở cuối một đoạn đã giải gần hết nên câu trả lời của học sinh ít còn giá trị.","Đặt câu hỏi tu từ rồi tự trả lời, hoặc yêu cầu xác nhận hình thức sau khi đã cung cấp toàn bộ đáp án.","Win: response mô hình tạo tương tác phụ thuộc câu trả lời tốt hơn; Tie: tương đương; Lose: kém hơn.","needs_hnmu_review"
