claim_id,paper_id,comparison_layer,claim,label,source_locator,source_url,project_implication,limitation_or_open_question
TR-C011,TR-P003,task_contract,TutorBench đặt mỗi mẫu vào một trong ba tình huống sử dụng gia sư,evidence,Section 2.1,https://arxiv.org/html/2510.02663v1,T1-T3 gần với ba tình huống sử dụng,T4 chẩn đoán có thể phù hợp hơn với nhãn kỹ năng phụ.
TR-C012,TR-P003,rubric_scope,Mỗi mẫu TutorBench có bộ 3-39 tiêu chí riêng và không có bộ tiêu chí chung bắt buộc được công bố,evidence,Section 2.3,https://arxiv.org/html/2510.02663v1,Chỉ dùng rubric cố định cấp nhiệm vụ không thể biểu diễn mọi yêu cầu chuyên môn và sư phạm riêng của mẫu,Các nhãn phân tích chung không phải tiêu chí chấm chung.
TR-C013,TR-P003,reference_role,Chuyên gia viết phản hồi gia sư mẫu và xây dựng tiêu chí riêng của mẫu từ phản hồi đó,evidence,Appendix A.1,https://arxiv.org/html/2510.02663v1,Dùng gold_response của HNMU để viết tiêu chí và ví dụ thay vì coi là phản hồi duy nhất được chấp nhận,Bài báo không xác nhận phản hồi mẫu phải được đưa cho bộ chấm trong mọi lần đánh giá.
TR-C014,TR-P003,judgment,Bộ chấm LLM gán Pass hoặc Fail độc lập cho mỗi tiêu chí riêng của mẫu,evidence,Section 2.3,https://arxiv.org/html/2510.02663v1,Tiêu chí nguyên tử dễ kiểm định hơn một phán quyết Likert tổng thể khó truy nguyên,Độ tin cậy của bộ chấm trong ngôn ngữ dự án chưa được kiểm.
TR-C015,TR-P003,weighting,Tiêu chí có trọng số +5 +1 hoặc -5 và điểm mẫu là trung bình nhị phân có trọng số,evidence,Section 2.3; Equation 1,https://arxiv.org/html/2510.02663v1,Có thể biểu diễn mức trọng yếu riêng với tiêu chí thông thường,Công thức in chưa giải thích đầy đủ cách chuẩn hóa giá trị thô âm về khoảng 0-1.
TR-C016,TR-P003,tags,Nhãn tiêu chí gồm chiều đánh giá kỹ năng gia sư mức rõ hoặc ngầm và tính khách quan,evidence,Section 2.4,https://arxiv.org/html/2510.02663v1,Cần tách nội dung tiêu chí chấm khỏi nhãn phân tích,Nhãn không thay thế tiêu chí.
TR-C017,TR-P003,cognitive_level,Mức Bloom được gán sau khi xây mẫu để phân tích và kết quả mô hình không giảm đều theo mức Bloom,evidence,Section 3.4,https://arxiv.org/html/2510.02663v1,Giữ bloom_level làm siêu dữ liệu hoặc trục độ phủ thay vì mã nhiệm vụ,Nhãn được gán bằng đồng thuận mô hình chứ không phải chuyên gia con người.
TR-C018,TR-P004,task_taxonomy,VietLegal tổ chức 22 hợp đồng nhiệm vụ trong năm tầng nhận thức lấy cảm hứng từ Bloom,evidence,Section 3.1; Table 1,https://arxiv.org/html/2512.14554v5,Mức nhận thức có thể tổ chức độ phủ trong khi nhiệm vụ vẫn định nghĩa đầu vào đầu ra và thước đo,Các tầng VietLegal được điều chỉnh cho miền luật và không chuyển trực tiếp sang Tin học THCS.
TR-C019,TR-P004,rubric_scope,VietLegal dùng thước đo và nhãn chuẩn theo nhiệm vụ thay vì tiêu chí riêng theo mẫu,evidence,Table 1; Section 4.1,https://arxiv.org/html/2512.14554v5,Nhiệm vụ Tin học có đầu ra đóng hoặc cấu trúc có thể dùng thước đo khách quan còn phản hồi gia sư mở cần tiêu chí,VietLegal không phải bằng chứng trực tiếp cho chấm phản hồi sư phạm.
TR-C020,TR-P004,human_evaluation,Ba nhiệm vụ sinh văn bản có đánh giá con người riêng về Legal Accuracy và Completeness trên một tập con,evidence,Table 4; Appendix F.1,https://arxiv.org/html/2512.14554v5,Một bộ tiêu chí chung nhỏ do con người chấm có thể kiểm định thước đo tự động trên tập con,Bài báo bất nhất về việc người đánh giá là ba chuyên gia cao cấp hay hai chuyên gia trẻ.
TR-C021,TR-P004,provenance,Mỗi mẫu dựa trên nguồn có thẩm quyền và nhãn bất đồng được kiểm tra chéo rồi phân xử bởi chuyên gia cao cấp,evidence,Section 3.2; Appendix E,https://arxiv.org/html/2512.14554v5,Việc biên soạn nhiệm vụ và tiêu chí phải giữ truy vết học liệu và trạng thái rà soát,Quy trình nguồn pháp luật cần được điều chỉnh cho fragment SGK và SGV.
TR-C022,PROJECT,inference,Thiết kế phù hợp nhất hiện tại là một nhiệm vụ chính cấp mẫu; lõi tiêu chí chung nhỏ; tiêu chí riêng theo mẫu; và cổng lỗi nghiêm trọng riêng,inference,Synthesis across TR-C001 through TR-C021,,Cần sửa cấu trúc Plan 03 trước khi duyệt thay vì lặp năm tiêu chí giống nhau dưới mỗi nhiệm vụ,HNMU và UET phải xác nhận nội dung tiêu chí cách chấm và ranh giới nhiệm vụ.
TR-C023,PROJECT,inference,T4 chẩn đoán nên mặc định là nhãn kỹ năng gia sư phụ cho phản hồi mở và chỉ thành nhiệm vụ chính khi có hợp đồng chẩn đoán cấu trúc rõ,inference,TR-C010 TR-C011 TR-C016,,Giảm chồng chéo giữa phản hồi hỗ trợ từng bước và chẩn đoán nhưng vẫn giữ phân tích chẩn đoán,Cần kiểm tra trên phân bố thật của 2.028 mẫu ứng viên.
TR-C024,PROJECT,inference,Gold response nên hỗ trợ viết tiêu chí kiểm tra sự thật và phép so sánh theo cặp phụ nhưng không dùng để so khớp chính xác,inference,TR-C003 TR-C005 TR-C013 TR-C019,,Cho phép nhiều phản hồi sư phạm hợp lệ và giảm rủi ro từ câu tham chiếu chưa hoàn hảo,Chỉ nâng phép so sánh theo cặp thành phép chấm chính sau khi HNMU xác nhận chất lượng phản hồi tham chiếu.
