sample_id,suggested_quality_decision,confidence_score,main_failure_reasons,needs_hnmu_review,needs_learning_resource_review,needs_sgv_verification,source_checklist_rows,checked_by,checked_at,shard_id
HNMU-G8-R0012-STT11,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0013-STT12,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0014-STT13,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0015-STT14,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0016-STT1,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0017-STT2,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0018-STT3,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0019-STT4,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0020-STT5,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0021-STT6,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0022-STT7,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0023-STT8,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0024-STT9,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0025-STT10,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0026-STT11,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0027-STT12,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0028-STT13,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0029-STT14,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0030-STT1,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0031-STT2,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0032-STT3,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0033-STT4,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0034-STT5,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0035-STT6,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0036-STT7,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0037-STT8,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0038-STT9,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0039-STT10,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0040-STT11,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0041-STT12,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0042-STT13,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0043-STT14,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0044-STT1,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0045-STT2,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0046-STT3,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0047-STT4,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0048-STT5,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0049-STT6,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0050-STT7,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0051-STT8,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0052-STT9,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0053-STT10,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0054-STT11,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0055-STT12,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0056-STT13,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0057-STT14,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0058-STT1,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0059-STT2,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0060-STT3,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0061-STT4,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0062-STT5,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0063-STT6,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0064-STT7,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0065-STT8,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0066-STT9,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0067-STT10,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0068-STT11,needs_human_review,0.28,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain. Mẫu này còn có lỗi nhãn/lỗi khớp hội thoại cần HNMU sửa hoặc xác nhận.,True,True,True,RAW-STR-03;RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0069-STT12,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0070-STT13,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0071-STT14,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0072-STT1,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0073-STT2,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0074-STT3,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0075-STT4,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0076-STT5,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0077-STT6,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0078-STT7,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0079-STT8,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
