benchmark_candidate_id,sample_id,grade,lesson,position,bloom_level,student_prompt,conversation_history,source_question,gold_answer,has_history,history_turn_count,selection_reason
BC-HNMU-G7-R0072-STT1-AI02,HNMU-G7-R0072-STT1,7,Bài 6: Làm quen với phần mềm bảng tính,Mục 1. Giao diện (Tr. 41 SGK),Nhận biết (Nêu được khái niệm),"Thầy AI ơi, phần mềm bảng tính là gì ạ? Em thấy nó giống Word nhưng lại có nhiều ô quá.",[],Phần mềm bảng tính là gì?,"Là phần mềm được thiết kế để giúp ghi lại và trình bày thông tin dưới dạng bảng, thực hiện các tính toán và xây dựng các biểu đồ biểu diễn một cách trực quan các số liệu,.",false,0,"grade=7;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G7-R0008-STT7-AI04,HNMU-G7-R0008-STT7,7,Bài 1. Thiết bị vào - ra,"Câu 2, Trang 31 SGV",Thông hiểu (Giải thích được dạng dữ liệu),"Thầy ơi, camera an ninh có giống cái micro không ạ? Nó thu gì vậy thầy?","[{""turn_index"":2,""role"":""tutor"",""content"":""Camera an ninh có \""mắt\"" rất sáng đấy. \""Mắt\"" đó dùng để làm gì khi có người đi qua?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ để nhìn và ghi lại mặt người đó ạ.""}]","Camera an ninh làm việc với dạng thông tin nào?
 A. Văn bản
 B. Hình ảnh
 C. Âm thanh
 D.Con số",B. Hình ảnh.,true,2,"grade=7;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G7-R0020-STT5-AI04,HNMU-G7-R0020-STT5,7,Bài 2. Phần mềm máy tính,"Mục 1, Trang 10 SGK",Thông hiểu (Mô tả được chức năng),"Thầy ơi, sao phần mềm Zalo không tự chạy luôn mà phải cần Windows ạ?","[{""turn_index"":2,""role"":""tutor"",""content"":""Hãy tưởng tượng Zalo là một cầu thủ bóng đá. Để cầu thủ có thể đá bóng, họ cần cái gì để chạy lên đó?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ cần một sân cỏ ạ""}]",Tại sao hệ điều hành lại đóng vai trò là môi trường để các phần mềm ứng dụng chạy?,"Vì hệ điều hành quản lý việc phân phối tài nguyên phần cứng (CPU, RAM) cho các ứng dụng sử dụng.",true,2,"grade=7;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G7-R0143-STT2-AI04,HNMU-G7-R0143-STT2,7,Bài 11: Tạo bài trình chiếu,Mục 1. Trang 65,Nhận biết (Nêu/Kể tên được),"Ngoài việc để thầy cô dạy học, phần mềm trình chiếu còn dùng làm gì nữa không ạ?","[{""turn_index"":2,""role"":""tutor"",""content"":""Câu hỏi rất thực tế! Nếu một công ty muốn giới thiệu sản phẩm mới cho khách hàng xem, họ có thể dùng nó không?""},{""turn_index"":3,""role"":""student"",""content"":""Chắc là có ạ, để chiếu hình ảnh sản phẩm lên.""}]",Kể tên được các ứng dụng thực tế của phần mềm trình chiếu.,"Dùng trong các hội thảo, hội nghị, dạy học, quảng cáo, tạo các album ảnh hay video.",true,2,"grade=7;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G7-R0067-STT10-AI02,HNMU-G7-R0067-STT10,7,Bài 5. Ứng xử trên mạng,"Mục 3, Trang 26 SGK",Thông hiểu (Trình bày dấu hiệu),"Thầy ơi, em dùng mạng 3 tiếng mỗi ngày có phải là nghiện chưa ạ?",[],"Làm thế nào để tự nhận biết mình đang bắt đầu ""nghiện Internet""?","Khi em thấy ưu tiên thế giới ảo hơn các nhu cầu cơ bản (ăn, ngủ, học) và cảm thấy khó chịu khi không có mạng,.",false,0,"grade=7;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G7-R0032-STT3-AI02,HNMU-G7-R0032-STT3,7,Bài 3. Quản lí dữ liệu trong máy tính,"Mục 2, Trang 14-15 SGK",Nhận biết (Nêu được các bước/cách),"Thầy ơi, dữ liệu trong máy tính của em có bao giờ bị mất không ạ?",[],Kể tên một số biện pháp bảo vệ dữ liệu cơ bản.,"Sao lưu dữ liệu, phòng chống xâm nhập trái phép và phòng chống virus.",false,0,"grade=7;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G7-R0101-STT2-AI04,HNMU-G7-R0101-STT2,7,Bài 8: Công cụ hỗ trợ tính toán,Mục 1. Hàm (Tr. 52 SGK),Nhận biết (Nêu được tên),"Em muốn tính điểm trung bình mà không muốn dùng phép chia, có hàm nào không thầy?","[{""turn_index"":2,""role"":""tutor"",""content"":""Có chứ! Trong tiếng Anh, từ nào có nghĩa là \""trung bình\"" và bắt đầu bằng chữ A nhỉ?""},{""turn_index"":3,""role"":""student"",""content"":""À, là từ Average ạ.""}]",Tên hàm dùng để tính trung bình cộng là gì?,Hàm AVERAGE.,true,2,"grade=7;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G7-R0209-STT12-AI14,HNMU-G7-R0209-STT12,7,Bài 15. Thuật toán tìm kiếm nhị phân,"Phần Đánh giá (Trang 91, SGV)",Vận dụng,"Gia sư ơi, đề bảo dùng tìm kiếm nhị phân tìm điểm số 9.5 trong dãy [7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10]. Cụ thể các bước viết ra bài thi ra sao ạ?","[{""turn_index"":2,""role"":""tutor"",""content"":""Dãy này đã được sắp xếp tăng dần, có 7 số, đánh số vị trí từ 1 đến 7. Bước 1: Phần tử chính giữa là vị trí số mấy?""},{""turn_index"":3,""role"":""student"",""content"":""Vị trí chính giữa là vị trí số 4, ứng với điểm 8.5 ạ.""},{""turn_index"":4,""role"":""tutor"",""content"":""Tốt. Em so sánh \""giá trị cần tìm\"" (9.5) với 8.5, kết quả phép so sánh thế nào?""},{""turn_index"":5,""role"":""student"",""content"":""Dạ 9.5 lớn hơn 8.5 ạ.""},{""turn_index"":6,""role"":""tutor"",""content"":""Do dãy tăng dần, số lớn hơn nằm ở phía sau. Vậy em sẽ lấy nửa nào của danh sách để thiết lập phạm vi tìm tiếp?""},{""turn_index"":7,""role"":""student"",""content"":""Em loại bỏ nửa trước, chỉ lấy nửa sau gồm 3 số là mảng con: [9.0, 9.5, 10].""},{""turn_index"":8,""role"":""tutor"",""content"":""Chuẩn xác. Bước lặp 2: Trong dải mảng con mới [9.0, 9.5, 10], vị trí chính giữa của nó chứa số mấy?""},{""turn_index"":9,""role"":""student"",""content"":""Vị trí chính giữa của mảng mới này là số 9.5 ạ.""},{""turn_index"":10,""role"":""tutor"",""content"":""Đem so sánh 9.5 với \""giá trị cần tìm\"", em thấy điều kiện gì xảy ra?""},{""turn_index"":11,""role"":""student"",""content"":""9.5 bằng đúng 9.5. Cán đích, tìm thấy rồi ạ!""},{""turn_index"":12,""role"":""tutor"",""content"":""Vậy thuật toán sẽ làm gì và đưa ra câu kết luận nào ghi vào bài thi?""},{""turn_index"":13,""role"":""student"",""content"":""Thuật toán dừng lại ngay lập tức và thông báo: Tìm thấy điểm 9.5 ở vị trí thứ 6 trong danh sách ban đầu ạ.""}]","Thực hiện được việc tìm kiếm nhị phân để tìm học sinh được 9,5 điểm trong bảng điểm đã sắp xếp: [7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10].","Vị trí giữa là 8.5. 9.5 > 8.5, tìm nửa sau [9.0, 9.5, 10]. Vị trí giữa mới là 9.5. Bằng giá trị cần tìm -> Dừng, kết quả vị trí 6.",true,12,"grade=7;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G7-R0191-STT8-AI02,HNMU-G7-R0191-STT8,7,Bài 14. Thuật toán tìm kiếm tuần tự,"Mục 1 (Trang 78, SGK)",Thông hiểu,"Thầy AI, tại sao người ta không gọi là ""tìm kiếm bình thường"" mà lại gọi là ""tìm kiếm tuần tự""? Chữ ""tuần tự"" có ý nghĩa gì đặc biệt để phân biệt không ạ?",[],"Phân biệt được ý nghĩa của từ ""tuần tự"" trong tên gọi thuật toán tìm kiếm tuần tự.","""Tuần tự"" nghĩa là kiểm tra lần lượt từng phần tử từ đầu đến cuối danh sách, không bỏ sót hay nhảy cóc.",false,0,"grade=7;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G7-R0168-STT13-AI02,HNMU-G7-R0168-STT13,7,Bài 12: Định dạng đối tượng trên trang chiếu,Mục 3. Trang 71 (Kiến thức bổ sung),Vận dụng (Thêm được),"Thầy ơi, em muốn gõ chữ vào trong cái hình mũi tên (Shapes). Em vẽ một cái Text box (hộp văn bản) rồi đặt đè lên trên cái mũi tên có được không ạ?",[],Thêm được văn bản vào bên trong một đối tượng hình khối (Shapes).,Vẽ hình khối (Insert -> Shapes) -> Nháy chuột phải vào hình khối -> Chọn Edit Text (hoặc Add Text) -> Gõ văn bản.,false,0,"grade=7;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G8-R0215-STT4-AI04,HNMU-G8-R0215-STT4,8,Bài 12,Mục 2. Thực hành (Tr. 73 SGK),Nhận biết (Nhận biết biểu tượng),"Em muốn cho biến ""Điểm"" bằng 0 khi bắt đầu thì dùng khối nào ạ?","[{""turn_index"":2,""role"":""tutor"",""content"":""Em hãy tìm trong nhóm lệnh Các biến số màu cam. Có khối lệnh nào bắt đầu bằng từ \""đặt\"" không?""},{""turn_index"":3,""role"":""student"",""content"":""Em thấy khối đặt [my variable] thành  ạ.""}]",Khối lệnh nào trong Scratch dùng để gán giá trị cho một biến?,Khối lệnh đặt [tên biến] thành [giá trị] (Set [variable] to [value]).,true,2,"grade=8;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G8-R0031-STT2-AI04,HNMU-G8-R0031-STT2,8,Bài 3. Thực hành: Khai thác thông tin số,"Nhiệm vụ 2, Trang 16 SGK",Nhận biết (Nêu được tên các yếu tố),Thầy giúp em nhớ các tiêu chí để biết thông tin có tin được không với ạ.,"[{""turn_index"":2,""role"":""tutor"",""content"":""Rất sẵn lòng! Đầu tiên, em phải xem \""ai\"" là người cung cấp (Nguồn tin). Nếu tin đó từ năm 2010 thì nó thiếu yếu tố gì so với hiện tại nhỉ?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ là tính thời sự ạ.""}]",Kể tên 4 yếu tố dùng để đánh giá độ tin cậy của thông tin tìm được.,"Nguồn tin, tính xác thực, tính thời sự, tính khách quan.",true,2,"grade=8;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G8-R0188-STT5-AI02,HNMU-G8-R0188-STT5,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Mục 1. Thêm văn bản (Trang 66),Thông hiểu,"Thầy ơi em lúng túng quá, em bấm nút Text rồi mà chữ em gõ ra nó bé tí ti màu đen, không nổi bật chút nào trên nền ảnh.",[],Mô tả được các bước cơ bản để chèn và định dạng một dòng văn bản vào ảnh.,"Chọn công cụ Text -> Nháy chuột vào vị trí cần chèn -> Gõ chữ -> Quét chọn khối chữ -> Chỉnh sửa cỡ chữ, phông, màu ở bảng Tool Options.",false,0,"grade=8;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G8-R0183-STT14-AI02,HNMU-G8-R0183-STT14,8,"[9b] Thay đổi khung hình, kích thước ảnh",Thực hành tổng hợp,Vận dụng,"Em có 3 thao tác cần làm cho bức ảnh này: cắt, xoay và đổi kích thước. Em làm cái nào trước cũng được đúng không thầy?",[],"Vận dụng kĩ năng kết hợp các công cụ: Crop, Rotate, Scale để hoàn thiện sản phẩm.",Kết hợp tuần tự các công cụ sao cho tối ưu (Thường là Rotate -> Crop -> Scale).,false,0,"grade=8;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G8-R0011-STT10-AI02,HNMU-G8-R0011-STT10,8,Bài 1. Lược sử công cụ tính toán,"Mục 2, Trang 8 SGK",Thông hiểu (Trình bày những thay đổi),Tại sao đến thế hệ thứ tư máy tính mới phổ biến trong các gia đình vậy thầy?,[],Kể tên một đóng góp quan trọng của thế hệ máy tính thứ tư (1974 - nay) cho đời sống.,Sự ra đời của máy tính cá nhân (PC) nhờ vào vi xử lý (microprocessor).,false,0,"grade=8;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G8-R0053-STT10-AI04,HNMU-G8-R0053-STT10,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 1,Trang 18 SGK",Thông hiểu (Nêu được hệ quả),"Em chỉ vào xem các bạn nói gì thôi chứ không viết gì, có sao không thầy?","[{""turn_index"":2,""role"":""tutor"",""content"":""Nếu em thấy một đám đông đang làm việc xấu mà em đứng xem và cổ vũ (Like), người khác nhìn vào sẽ nghĩ em là người thế nào?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ chắc họ nghĩ em cũng đồng tình với việc đó ạ.""}]",Giải thích tại sao không nên tham gia vào các hội nhóm nói xấu giáo viên hoặc bạn bè.,"Vì đây là hành vi thiếu văn hóa, gây mất đoàn kết và có thể vi phạm quy tắc ứng xử của nhà trường.",true,2,"grade=8;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G8-R0077-STT6-AI04,HNMU-G8-R0077-STT6,8,Bài 6. Săp xếp và lọc dữ liệu,"Mục 2, Trang 29 SGK",Thông hiểu (Giải thích thao tác),Em bấm nút Sort mà máy cứ báo lỗi hoặc sắp xếp lung tung là sao ạ?,"[{""turn_index"":2,""role"":""tutor"",""content"":""Có lẽ máy tính chưa biết em muốn sắp xếp \""đám\"" dữ liệu nào đấy. Trước khi ra lệnh, em đã \""chỉ\"" cho máy biết mình đang làm việc ở bảng nào chưa?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ em chỉ cần nhấn vào một ô bất kỳ trong bảng là được đúng không thầy?""}]",Tại sao cần phải chọn một ô trong vùng dữ liệu trước khi thực hiện lệnh sắp xếp?,Để phần mềm xác định được vùng dữ liệu cần sắp xếp và cột tiêu chí sắp xếp.,true,2,"grade=8;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G8-R0200-STT3-AI08,HNMU-G8-R0200-STT3,8,[11b] Thực hành tổng hợp,Bước 2. Tạo khung viền (Trang 71),Nhận biết,"Thầy ơi, cô giáo bảo làm xong khung viền thì phải gộp nó lại với ảnh gốc cho gọn. Em bôi đen cả 2 lớp được không?","[{""turn_index"":2,""role"":""tutor"",""content"":""Trong GIMP, để gộp lớp, ta không \""bôi đen\"" mà dùng lệnh trộn lớp. Em hãy để ý trong bảng Layers, lớp khung viền đang nằm ngay phía trên lớp ảnh gốc đúng không?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ đúng ạ, khung viền nằm trên.""},{""turn_index"":4,""role"":""tutor"",""content"":""Tốt. Bây giờ em nháy chuột phải vào cái lớp nằm trên đó. Một danh sách xổ ra. Từ tiếng Anh mang ý nghĩa \""trộn, gộp\"" là \""Merge\"". Em có thấy lệnh nào chứa từ này không?""},{""turn_index"":5,""role"":""student"",""content"":""Dạ em thấy 2 cái là \""Merge Down\"" và \""Merge Visible Layers\"" ạ.""},{""turn_index"":6,""role"":""tutor"",""content"":""Rất tinh mắt! Vì ta chỉ muốn gộp lớp trên \""xuống\"" lớp ngay dưới nó, nên em chọn hướng \""Down\"". Vậy đáp án là gì?""},{""turn_index"":7,""role"":""student"",""content"":""Là Merge Down ạ! Em bấm xong thì 2 lớp dính thành 1 rồi.""}]",Nhận diện lệnh dùng để trộn/gộp lớp phía trên xuống lớp phía dưới.,Lệnh Merge Down (chuột phải vào lớp chọn Merge Down).,true,6,"grade=8;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G8-R0093-STT8-AI02,HNMU-G8-R0093-STT8,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,"Hình 7.2, Trang 32 SGK",Thông hiểu (Phân biệt chức năng),Thầy giúp em phân biệt cái chữ ở trên cùng với cái bảng màu ở bên cạnh biểu đồ với ạ.,[],"Phân biệt vai trò của ""Tiêu đề biểu đồ"" và ""Chú giải"" (Legend).",Tiêu đề cho biết nội dung tổng quát của biểu đồ; Chú giải giúp phân biệt các đối tượng dữ liệu qua màu sắc/kí hiệu.,false,0,"grade=8;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G8-R0025-STT10-AI02,HNMU-G8-R0025-STT10,8,Bài 2. Thông tin trong môi trường số,"Lưu ý, Trang 29 SGV",Thông hiểu (Giải thích sự cần thiết),Tại sao báo điện tử tin cậy hơn Facebook hả thầy? Cả hai đều trên mạng mà.,[],Tại sao không nên tin tưởng hoàn toàn vào thông tin trên mạng xã hội?,"Vì trên mạng xã hội bất kỳ ai cũng có thể đăng tin mà không qua kiểm duyệt, dẫn đến nhiều tin giả, tin thiếu chính xác.",false,0,"grade=8;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G9-R0289-STT8-AI02,HNMU-G9-R0289-STT8,9,Bài 16: Thực hành: Lập chương trình máy tính,"Bảng 16.1 (Gỡ lỗi), trang 84",Thông hiểu,"Em thắc mắc Bảng 16.1 tình huống 6 ghi mức lương = -100. Người ra đề có bị nhầm không thầy, làm gì có ai đi làm mà lại bị âm tiền lương?",[],Giải thích ý nghĩa của việc đưa tình huống số 6 (mức lương = -100) vào Bảng 16.1 để kiểm thử?,"Đây là tình huống kiểm tra dữ liệu đầu vào không hợp lệ (mức lương bị âm). Mục đích là để kiểm tra xem chương trình có cơ chế bẫy lỗi (yêu cầu nhập lại) hay không, ngăn chặn việc tính ra số tiền lương vô lí.",false,0,"grade=9;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G9-R0094-STT9-AI04,HNMU-G9-R0094-STT9,9,Bài 7: Trình bày thông tin trong trao đổi hợp tác,Mục 1 (Tr. 28 SGK),Hiểu (Trình bày được cơ chế hoạt động).,"Thầy giải thích giúp em ""cộng tác thời gian thực"" là máy tính làm thế nào mà hay vậy ạ?","[{""turn_index"":2,""role"":""tutor"",""content"":""Em hãy tưởng tượng cả nhóm cùng cầm một chiếc bút và vẽ trên cùng một tờ giấy. Khi em vẽ một nét, các bạn có thấy ngay không?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ thấy luôn ạ. À, vậy trên mạng là nhiều người cùng sửa một tệp đồng thời đúng không thầy?""}]",Trình bày cơ chế của việc cộng tác theo thời gian thực trên các ứng dụng trực tuyến.,"Cho phép nhiều người cùng mở một tệp và chỉnh sửa đồng thời, các thay đổi được cập nhật ngay lập tức cho tất cả thành viên.",true,2,"grade=9;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G9-R0241-STT2-AI02,HNMU-G9-R0241-STT2,9,[13b]: Biên tập và xuất video,Mục 2 (Tr. 74),Nhận biết,"AI ơi, trong mục Video quality có High 1080p, Medium 720p, Low 540p. Mấy con số này là gì vậy?",[],Nhận biết được các tuỳ chọn độ phân giải khi xuất video.,"High (1080p), Medium (720p), Low (540p).",false,0,"grade=9;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G9-R0102-STT3-AI04,HNMU-G9-R0102-STT3,9,Bài 8: Sử dụng công cụ trực quan trình bày thông tin trong trao đổi và hợp tác,Nhiệm vụ 1 (Tr. 31 SGK),Biết (Nhận biết phần mở rộng tên tệp),"Thầy ơi, em lưu tệp sơ đồ xong thấy nó có cái đuôi lạ lắm, không phải .docx hay .pptx ạ.","[{""turn_index"":2,""role"":""tutor"",""content"":""Em quan sát kỹ tệp mình vừa lưu trên máy tính nhé. Sau dấu chấm là 3 chữ cái nào nhỉ?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ là .emm ạ.""}]",Đuôi tệp (phần mở rộng) của phần mềm sơ đồ tư duy MindMaple Lite là gì?,Phần mở rộng là .emm.,true,2,"grade=9;history=yes;diversified_by=bloom,lesson;family_unique=yes"
