record_id,title,year,venue,url_or_doi,publication_status,study_type,education_domain,learner_level,tutoring_capabilities,task_or_dataset,human_expert_role,rubric_or_metric,reliability_evidence,main_findings,limitations,relevance_to_project,evidence_location,reviewer_notes
LIT-011,Automated Feedback Generation for Introductory Programming Assignments,2013,PLDI 2013,https://doi.org/10.1145/2499370.2462195,peer_reviewed,method and technical evaluation,introductory programming,undergraduate,semantic-error localization; repair suggestion,"6,431 incorrect submissions with reference implementation and error model",instructor provides reference implementation and correction rules,"repair coverage, runtime, number of corrections, feedback detail",not_applicable,constraint-based matching repaired 64% of incorrect submissions.,manual rules and reference solution required; no learner evaluation,supports diagnosis/localization but not a claim of tutoring effectiveness,Sections 2-4; Table 1; Figures 3-4; Section 6,
LIT-012,Data-Driven Hint Generation in Vast Solution Spaces: a Self-Improving Python Programming Tutor,2017,International Journal of Artificial Intelligence in Education,https://doi.org/10.1007/s40593-015-0070-z,peer_reviewed,tutoring method,introductory Python,postsecondary and online learners,solution-path inference; next-step hints,canonicalized student program states in a solution-space graph,"teacher supplies tests, exemplar solutions and may adjust path weights","graph coverage, hint availability and path quality",not_reported,data-driven graphs produced incremental hints across multiple valid solutions.,technical evaluation; sparse-data and language-specific requirements,supports smallest useful next step and preservation of alternative algorithms,Sections 3-5; Figures 5-7; Tables 2-4,
LIT-013,Adaptive Immediate Feedback Can Improve Novice Programming Engagement and Intention to Persist in Computer Science,2020,ICER 2020,https://doi.org/10.1145/3372782.3406264,peer_reviewed,classroom intervention,block-based novice programming,high school,immediate adaptive feedback; persistence support,programming assignments with or without adaptive feedback,educators/researchers designed the intervention,"engagement, subsequent performance and intention to persist",not_reported,adaptive feedback was associated with stronger engagement and persistence.,one environment and setting; detailed licensed-text audit incomplete,closest learner-level evidence for immediate programming feedback,Publisher abstract; Results and Discussion require follow-up,Use cautiously until full-text audit.
LIT-014,Exploring the Responses of Large Language Models to Beginner Programmers' Help Requests,2023,ICER 2023,https://doi.org/10.1145/3568813.3600139,peer_reviewed,benchmark and evaluation,introductory Dart programming,adult beginners,explain errors; answer authentic help requests; guide next action,150 authentic requests and 600 generated responses,course teacher provided baseline responses; researchers categorized outputs,"seven binary aspects including correctness, relevance, explanation and solution provision",not_reported,"responses could be useful but also incorrect, overlong or overly solution-revealing.",one English course; single-turn; no learning outcomes,"supports clarifying-question, relevance and leakage criteria",Sections 3.1-3.4; Tables 1-2; Sections 4-5,
LIT-015,"Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors",2023,ICER 2023 Volume 2,https://doi.org/10.1145/3568812.3603476,peer_reviewed,benchmark,introductory Python,undergraduate,issue identification; next-step hints; guided problem solving,25 student programs and 150 human/model hints,two experienced tutors authored and evaluated hints,"issue identification, guided problem solving, disclosure and readability",two evaluators; disagreements resolved; no coefficient,GPT-4 approached tutors on issue identification/readability but lagged on guidance and concealment.,small dataset; English Python; same tutors authored and evaluated,strong direct source for algorithm construction and diagnosis criteria,Sections 3-5; Tables 1-3,
LIT-016,Evaluating the Application of Large Language Models to Generate Feedback in Programming Education,2024,IEEE EDUCON 2024,https://doi.org/10.1109/EDUCON60312.2024.10578838,peer_reviewed,student evaluation,first-semester programming,university,failed-test explanation; code-improvement feedback,51 students and three programming assignments,"course staff supplied tasks, tests and solution context","issue coverage, false issues, acceptance and usefulness",not_reported,accepted feedback could still be incomplete; perceived usefulness did not equal correctness.,one institution/model; few manually evaluated tasks,"supports separating issue coverage, false positives and perceived usefulness",Sections III-V; Tables I-II; Figures 1-4,
LIT-017,Not the Silver Bullet: LLM-enhanced Programming Error Messages are Ineffective in Practice,2024,UKICER 2024,https://doi.org/10.1145/3689535.3689554,peer_reviewed,controlled learner experiment,novice C programming,university,compiler-error explanation and correction guidance,106 participants and six seeded syntax errors,human-enhanced messages authored by researcher; experiment designed by educators,"correction time, skip rate and ratings",objective outcomes; no annotation reliability applicable,LLM-enhanced messages did not improve correction time or skip rate; human messages helped some errors.,remote artificial task; one language and compiler,warns that fluent/long feedback is not a proxy for effective next action,Sections 3-5; Tables 1-3; Figures 2-3,
LIT-018,Decoding Logic Errors: A Comparative Study on Bug Detection by Students and Large Language Models,2024,Australasian Computing Education Conference 2024,https://doi.org/10.1145/3636243.3636245,peer_reviewed,comparative benchmark,introductory programming,university,logic-error detection and explanation,"964 students, correct code and seeded logic errors; 360 LLM requests",instructors authored variants and evaluated responses,"bug detection, false positives and response analysis",not_reported,models often found intended bugs but also reported non-existent problems in correct code.,small snippets and single intended bugs; not dialogue tutoring,supports correct-work negative controls and false-positive critical failure,Sections 3-5; Tables 1-2; Figures 2-3,
LIT-019,The TalkMoves Dataset: K-12 Mathematics Lesson Transcripts Annotated for Teacher and Student Discursive Moves,2022,LREC 2022,https://arxiv.org/abs/2204.09652,peer_reviewed,dataset and annotation validation,K-12 mathematics discourse,K-12,eliciting reasoning; pressing for accuracy; revoicing; relating ideas,567 transcripts and ten mutually exclusive talk moves,experts designed protocol; trained annotators double-coded and recalibrated,six teacher and four student talk-move labels,per-label Cohen kappa .91-1.00 at initial/midpoint checks,behavior-specific labels can be highly reliable with definitions and recalibration.,whole-class mathematics; rare-label imbalance,"supports per-criterion training, double-coding and midpoint calibration","Sections 2.1, 3.1 and 3.2.1; Tables 1 and 3",
LIT-020,Towards Responsible Development of Generative AI for Education: An Evaluation-Driven Approach,2024,arXiv,https://arxiv.org/abs/2407.12687,preprint,participatory design and evaluation,mixed subjects including programming,secondary through adult,engagement; guided discovery; mistake recognition; adaptation; accuracy,seven human and automatic evaluations of LearnLM-Tutor,teachers and learners co-designed principles; pedagogical experts rated turns/conversations,"nine turn dimensions, conversation rubric, pairwise preferences and automatic critics",per-dimension Krippendorff alpha approximately -.038 to .663,reliability differed widely by construct; automatic measures captured only some human signals.,English/WEIRD contexts; limited samples; no Vietnamese validation,"supports analytic vectors, N/A, multiple raters and per-dimension reliability","Sections 2, 4.3, 5.2-5.4, 6.1, 8; Appendix J.2 and M",
LIT-021,ConvoLearn: A Teacher-Authored Dataset for Pedagogical Dialogue,2026,arXiv,https://arxiv.org/abs/2601.08950,preprint,dataset and construct validation,middle-school Earth Science,Grade 7,cognitive engagement; formative assessment; accountability; agency,"2,134 teacher-authored dialogues; 1,250 high-quality subset",323 certified teachers authored; 31 independent teachers rated,six dimensions/21 subdimensions and 1-5 effectiveness ratings,human-evaluation IRR not reported; silver labels used LLM adjudication,teacher ratings supported targeted fine-tuning as proof of concept.,one English subject; simulated students; LLM annotation circularity,closest age evidence but requires cross-domain teacher validation,Sections 3-7; Tables 1-3; Appendices G and M,
LIT-022,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,2023,NeurIPS Datasets and Benchmarks,https://arxiv.org/abs/2306.05685,peer_reviewed,benchmark and judge validation,general dialogue,not educational,multi-turn preference evaluation,MT-Bench and large-scale human preference conversations,expert/crowd preference labels provide comparison target,pairwise and scalar LLM judgments,strong judges exceeded 80% agreement in this setting,"LLM judges approximate preferences but have position, verbosity and self-enhancement biases.",general chat preference does not establish pedagogical validity,supports only calibrated auxiliary judging with human oversight,Abstract and bias/agreement analyses,
LIT-023,Large Language Models are not Fair Evaluators,2023,arXiv,https://arxiv.org/abs/2305.17926,preprint,bias experiment,general instruction responses,not educational,pairwise output comparison,order-swapped response pairs,authors manually labelled outcomes; human escalation proposed,balanced-position calibration and entropy,human alignment reported; annotator IRR not reported,response order could reverse model rankings.,small general benchmark and model set,requires order swapping/randomization and human review of unstable cases,Abstract and calibration framework,
LIT-024,Large Language Models are Inconsistent and Biased Evaluators,2024,arXiv,https://arxiv.org/abs/2405.01724,preprint,robustness meta-evaluation,summarization evaluation,not educational,repeated rubric evaluation,SummEval and RoSE responses under repeated prompts,existing expert judgments used as reference,"rating distributions, repeated samples and prompt perturbations",low inter-sample agreement and prompt sensitivity,"judges showed familiarity, anchoring and prompt-wording instability.",summarization rather than tutoring; model versions evolve,"supports frozen prompts, repeated runs and human calibration",Abstract and SummEval/RoSE analyses,
LIT-025,MM-Eval: A Multilingual Meta-Evaluation Benchmark for LLM-as-a-Judge and Reward Models,2024,arXiv,https://arxiv.org/abs/2410.17578,preprint,multilingual meta-evaluation,multilingual generation,not educational,multilingual judge validity and fairness,five core subsets across 18 languages plus consistency across 122 languages,human annotation details require further verification,pairwise ranking accuracy and absolute-score consistency/fairness,cross-language correlation and fairness analyses,English-strong evaluators degrade and become less fair in lower-resource languages.,work in progress; Vietnamese inclusion not confirmed in audit,Vietnamese judge validity must be tested directly,Abstract; benchmark-design and results sections,
LIT-026,"M3Exam: A Multilingual, Multimodal, Multilevel Benchmark for Examining Large Language Models",2023,arXiv,https://arxiv.org/abs/2306.05179,preprint,multilingual benchmark,school examinations,three educational levels,multilingual and multimodal solving,"12,317 questions in nine languages; about 23% image-dependent",questions sourced from real official examinations,answer accuracy,not_reported,models struggled more in lower-resource/non-Latin languages and multimodal questions.,"solving benchmark, not tutoring","supports language- and level-specific testing, not tutoring rubric dimensions",Abstract; dataset and results sections,
LIT-027,VNHSGE: Vietnamese High School Graduation Examination Benchmark,2023,arXiv,https://arxiv.org/abs/2305.12199,preprint,Vietnamese educational benchmark,nine high-school subjects,Grade 12,Vietnamese exam solving,"over 19,000 multiple-choice questions and 300 literature essays",official/comparable exam materials; no tutor-response annotation,accuracy and generated-answer comparison,not_reported,"models showed uneven Vietnamese performance, especially in mathematics and sciences.",Grade 12; no Informatics tutoring dialogue,direct Vietnamese precedent only for localization and content testing,Abstract; dataset and results sections,
LIT-028,Tutor CoPilot: A Human-AI Approach for Scaling Real-Time Expertise,2024,arXiv,https://arxiv.org/abs/2410.03017,preprint,randomized controlled field study,K-12 mathematics tutoring,K-12,guiding questions; real-time tutor support; avoiding answer giving,"900 tutors and 1,800 students; more than 550,000 messages",human tutors used AI suggestions; interviews and pedagogical classifiers evaluated practice,topic mastery and pedagogical-strategy classifiers,preregistered RCT; classifier reliability must be checked in full text,access increased topic mastery by 4 percentage points overall and changed tutor strategies.,human-AI copilot rather than autonomous tutor; mathematics context,supports teacher-in-the-loop design and answer-concealment behavior,Abstract; methods/results and pedagogical-strategy analyses,
