claim_id,claim_theme,claim_type,claim,source_ids,source_locators,support_summary,project_implication,limitations_or_open_questions
MF-C011,judge_bias,evidence,"Trong thí nghiệm được báo cáo, giao thức so sánh theo cặp dễ bị đặc điểm gây nhiễu tác động hơn chấm điểm tuyệt đối.",MTF-S008,Abstract,"Bằng chứng so sánh trực tiếp về điểm yếu của giao thức.","Chỉ dùng ưu tiên theo cặp như phép kiểm tra phụ cho đến khi ngữ cảnh đánh giá ổn định.","Đây là bản tiền công bố và kết quả có thể không khái quát cho mọi mô hình."
MF-C012,reference_limits,evidence,"Đánh giá hội thoại mở gặp khó khi có nhiều phản hồi hợp lệ nhưng ít trùng từ với phản hồi tham chiếu; đối sánh kiểu BLEU không hiệu quả trong trường hợp đó.",MTF-S009,Abstract,"Nguồn nêu trực tiếp rằng nhiều phản hồi hợp lệ có thể không trùng từ.","Không coi một `gold_response` là cách diễn đạt hợp lệ duy nhất.","Hội thoại mở không phải gia sư, nhưng có cấu trúc không gian đáp án tương tự."
MF-C013,reference_limits,evidence,"Nhiều phản hồi tham chiếu do con người viết cải thiện tương quan với đánh giá con người về chất lượng và tính đa dạng.",MTF-S010,Abstract,"Cho thấy thêm phản hồi tham chiếu giúp giảm bỏ sót đầu ra hợp lệ.","Nếu dùng đánh giá dựa trên tham chiếu, nên lưu các cách trả lời hợp lệ khác hoặc tập mốc chẩn đoán.","Nguồn không định nghĩa hệ tiêu chí gia sư."
MF-C014,reference_limits,evidence,"Câu hỏi dữ kiện mở có thể có nhiều câu trả lời đúng ở các mức chi tiết khác nhau; tham chiếu một mức chi tiết có thể đánh giá thấp tri thức.",MTF-S011,Abstract,"Nguồn cung cấp ví dụ và thiết lập đánh giá nhiều mức chi tiết.","Tách độ đúng dữ kiện khỏi mức chi tiết và cách diễn đạt khi chấm phản hồi gia sư.","Đây là hỏi–đáp, không phải gia sư; sự chuyển giao chỉ mang tính cấu trúc."
MF-C015,reference_limits,evidence,"Đánh giá câu trả lời mở theo cặp hoặc danh sách khó diễn giải trực giác; câu hỏi dữ kiện và không phải dữ kiện cần chiến lược đánh giá khác nhau.",MTF-S012,Abstract,"Lập luận trực tiếp rằng một giao thức không phù hợp mọi loại câu trả lời mở.","Không giả định một phép so sánh theo cặp có thể bao phủ cả kiểm tra dữ kiện và giải thích sư phạm.","Vẫn cần kiểm định địa phương trên phản hồi gia sư tiếng Việt."
MF-C016,plan03_inference,inference,"Plan 03 nên định nghĩa mô hình năng lực, sau đó nhóm nhiệm vụ, bằng chứng quan sát và quy tắc chấm, vì nghiên cứu tách các tầng này.",MTF-S001;MTF-S002;MTF-S005,"Abstract; CATEGORIES OF TEST VALIDITY EVIDENCE; Abstract","Mẫu hình nhất quán giữa nhiều nguồn, dù không nguồn nào quyết định thiết kế cuối.","Giữ năng lực như điểm khởi đầu thay vì sản phẩm phụ của việc viết tiêu chí.","Giữ, gộp hay loại năng lực vẫn cần chuyên gia quyết định."
MF-C017,plan03_inference,inference,"Rà soát chuyên gia cần kiểm mức phù hợp, đầy đủ và dễ hiểu của tập bằng chứng, không chỉ hỏi tiêu chí có 'hợp lý' hay không.",MTF-S002;MTF-S003,"Mục về bằng chứng nội dung; Conclusions","Nguồn về hiệu lực nội dung và đồng thuận cùng gợi ý một giao thức rà soát cụ thể hơn.","Gói HNMU phải tách đánh giá độ bao phủ, độ rõ và ngưỡng chấm.","Tiêu chuẩn địa phương có thể khác khung đo lường chung."
MF-C018,plan03_inference,inference,"Hiệu chỉnh người chấm và kiểm định LLM chấm điểm phải được báo cáo riêng vì độ nhất quán của con người và độ phù hợp của mô hình là hai thuộc tính khác nhau.",MTF-S003;MTF-S004;MTF-S007;MTF-S008,"Conclusions; Abstract","Nghiên cứu xem đồng thuận người và thiên lệch mô hình là hai vấn đề đo lường khác nhau.","Không gộp độ đồng thuận của giáo viên vào độ chính xác của LLM chấm.","Quy trình hiệu chỉnh cụ thể cho dữ liệu Việt Nam vẫn còn mở."
MF-C019,plan03_inference,inference,"Thiết kế ứng viên phải chủ động phủ một dải độ khó hữu ích để bộ dữ liệu không bão hòa ở đầu quá dễ hoặc quá khó.",MTF-S005;MTF-S006,"Abstract; Introduction; Table 1","Hiệu ứng sàn/trần và độ phủ dải đo cho thấy cần độ trải, không chỉ cần số lượng.","Kiểm tra mức tập trung điểm trước khi khóa bộ ứng viên.","Chưa biết phân bố chất lượng phản hồi gia sư trong dữ liệu Việt Nam."
MF-C020,plan03_inference,inference,"Nếu dùng ưu tiên theo cặp, thứ tự phải được đảo hoặc cân bằng và giao thức phải được thử trên dữ liệu tiếng Việt trước khi dùng làm điểm chính.",MTF-S007;MTF-S008,Abstract,"Thiên lệch vị trí và độ nhạy với yếu tố gây nhiễu cùng đòi hỏi kiểm soát giao thức.","Giữ phép so sánh theo cặp ở vai trò phụ đến khi được kiểm định địa phương.","Chưa biết phản hồi gia sư tiếng Việt có cùng hồ sơ thiên lệch hay không."
MF-C021,open_question,open_question,"Ngưỡng đồng thuận tối thiểu nào phù hợp khi giáo viên Việt Nam mã hóa chất lượng phản hồi gia sư mở?",MTF-S003;MTF-S004,"Conclusions; Abstract","Nghiên cứu cảnh báo không chuyển ngưỡng một cách máy móc.","Cần quyết định cùng kế hoạch hiệu chỉnh HNMU/UET.","Phụ thuộc thang đo, số người chấm và mục đích sử dụng quyết định."
MF-C022,open_question,open_question,"Nên giữ ưu tiên theo cặp như phép kiểm tra chẩn đoán hay có thể dùng làm điểm chính sau khi mô tả đủ các phản hồi tham chiếu hợp lệ?",MTF-S008;MTF-S009;MTF-S010;MTF-S012,"Abstract; Abstract; Abstract; Abstract","Nghiên cứu chưa giải quyết câu hỏi này cho gia sư tiếng Việt.","Đây là quyết định chính sách cần HNMU/UET và chủ nhiệm dự án chốt.","Cần bằng chứng thí điểm địa phương."
MF-C023,open_question,open_question,"Cần bao nhiêu phản hồi gia sư hợp lệ thay thế trước khi một `gold_response` có thể hỗ trợ kiểm định đáng tin cậy?",MTF-S009;MTF-S010;MTF-S011,"Abstract; Abstract; Abstract","Phản hồi mở có thể khác nhau về cách diễn đạt và mức chi tiết.","Không giả định một cách diễn đạt chuẩn là đủ cho mọi ứng viên.","Số lượng cần thiết có thể khác theo nhóm nhiệm vụ và khối lớp."
MF-C024,scaffolding_boundary,evidence,"Nghiên cứu về dàn giáo phân biệt phương tiện hỗ trợ (hỏi, giải thích, làm mẫu, phản hồi, hướng dẫn, gợi ý) với các đặc trưng làm cho hỗ trợ trở thành dàn giáo thích ứng: điều chỉnh theo năng lực hiện tại, rút dần hỗ trợ và chuyển giao trách nhiệm. Việc dùng một phương tiện đơn lẻ không đủ chứng minh có dàn giáo.",MTF-S013,"Abstract; Sections “Scaffolding in Teacher–Student Interaction” and “Towards a framework for the analysis of scaffolding strategies”; Conclusions","Bằng chứng trực tiếp cho sự khác nhau giữa phương tiện/chức năng sư phạm và mức độ, thời điểm, mục tiêu chuyển giao của hỗ trợ.","Giữ CAP-STRAT và CAP-SCAFF như hai năng lực liên quan nhưng khác đơn vị đo; với ứng viên một lượt chỉ khẳng định điều tiết hỗ trợ tại thời điểm hiện tại, không khẳng định rút dần hoặc chuyển giao dài hạn.","Tổng quan ngoài miền Tin học THCS Việt Nam; HNMU phải kiểm định khả năng phân biệt qua ví dụ đối chứng."
MF-C025,scaffolding_boundary,inference,"Chẩn đoán trạng thái là đầu vào hoặc công cụ để gia sư điều chỉnh hỗ trợ, nhưng không đồng nhất với bản thân chiến lược dàn giáo: một năng lực trả lời câu hỏi học sinh đang ở đâu/vì sao, năng lực kia trả lời nên hỗ trợ bằng cách nào và ở mức nào.",MTF-S013;MTF-S001,"Sections “Scaffolding in Teacher–Student Interaction” and “Towards a framework for the analysis of scaffolding strategies”; Abstract","Bài tổng quan mô tả chẩn đoán như công cụ để đạt tính thích ứng; ECD cung cấp logic tách năng lực, nhiệm vụ và bằng chứng.","Giữ CAP-STATE/CAP-DIAG và CAP-SCAFF theo quan hệ phụ thuộc tuần tự; chỉ gộp nếu dữ liệu HNMU cho thấy người chấm không thể phân biệt trong bộ ví dụ đối chứng.","Đây là suy luận thiết kế cần HNMU/UET xác nhận; chẩn đoán có thể không xuất hiện ở mọi mẫu."
MF-C026,principle_structure,evidence,"Allison và Tharby mô tả sáu nguyên tắc là các thành phần có quan hệ qua lại, được kết nối linh hoạt và không tạo thành một chu trình cố định; một chuỗi học có thể chỉ cần một số nguyên tắc hoặc cần cả sáu.",MTF-S014,"Introduction, pp. 7–10","Nguồn gốc trực tiếp bác bỏ cách diễn giải sáu nguyên tắc như sáu lớp loại trừ lẫn nhau.","Mã hóa nên cho phép một hoặc hai chức năng không thể bỏ thay vì ép mọi mẫu vào đúng một lớp duy nhất.","Sách không cung cấp quy tắc annotation hậu nghiệm hoặc ngưỡng đồng thuận."
MF-C027,principle_boundaries,evidence,"Ranh giới chức năng có thể dựa vào kết quả gần: Challenge tạo nỗ lực nhận thức vừa sức; Explanation làm rõ kiến thức; Modelling cho thấy cách áp dụng; Practice để học sinh thực hiện lặp lại và tiến tới độc lập; Feedback dùng kết quả thực hiện để dẫn hướng cải thiện; Questioning kiểm tra hiểu sai hoặc thúc đẩy suy nghĩ sâu.",MTF-S014,"Introduction, pp. 7–10","Phần giới thiệu nêu mục tiêu và vai trò riêng của từng nguyên tắc dù chúng có thể cùng xuất hiện.","Dùng kết quả gần và chủ thể thực hiện hành động để làm rõ các cặp Explanation–Modelling, Modelling–Practice, Practice–Challenge, Feedback–Explanation và Questioning với các nguyên tắc khác.","Các mô tả ngắn không đủ thay thế rà soát ví dụ Tin học THCS của HNMU."
MF-C028,principle_assignment,inference,"Trường `primary_principle_id` và `secondary_principle_id` là quy ước lưu trữ của dự án, không phải cấu trúc được Allison–Tharby hoặc KMP-Bench chứng minh. Khi hai chức năng đều độc lập và không thể bỏ, có thể giữ cả hai; không dùng nhãn phụ chỉ để che bất định.",MTF-S014;MTF-S015,"Allison–Tharby Introduction, pp. 7–10; KMP-Bench Section 2.3 and 3.1","Nguồn gốc cho phép các nguyên tắc cùng hoạt động; KMP-Bench gán một hoặc hai nguyên tắc khi thiết kế hành động nhưng không công bố quy tắc xếp hạng chính–phụ hậu nghiệm.","So sánh liên-agent cần ưu tiên tập nhãn và phân tích thứ tự chính–phụ riêng; quy tắc chọn nhãn chính cần UET/HNMU phê duyệt.","Chưa có bằng chứng rằng cách xếp thứ tự đề xuất sẽ tái lập trên dữ liệu hiện tại."
