fragment_id,learning_material_id,page_start,page_end,section_label,order_index,location_note,status,legacy_reference_id,evidence_type
LM-CURR-TINTHCS-GDPT2018#F0012,LM-CURR-TINTHCS-GDPT2018,39,39,"CURR-G9-CS-004 — Bài toán, thuật toán và chương trình",12,"§V, bảng LỚP 9, Chủ đề F; Ba yêu cầu cuối của Chủ đề F; diễn giải: Học sinh nối được bài toán, thuật toán, ngôn ngữ và chương trình.",needs_hnmu_review,CURR-G9-CS-004,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0013,LM-CURR-TINTHCS-GDPT2018,39,40,CURR-G9-MIX-001 — Hướng nghiệp Tin học,13,"§V, bảng LỚP 9, Chủ đề G; Toàn bộ năm yêu cầu Chủ đề G; diễn giải: Học sinh tìm hiểu nghề nghiệp, môi trường làm việc và lựa chọn cá nhân không định kiến giới.",needs_hnmu_review,CURR-G9-MIX-001,source_evidence
LM-GUIDE-TINTHCS-TAPHUAN2019#F0001,LM-GUIDE-TINTHCS-TAPHUAN2019,14,15,GUIDE-G9-001 — Vai trò của yêu cầu cần đạt,1,"§V.2, giải thích cách trình bày nội dung giáo dục; Các đoạn về mối quan hệ yêu cầu cần đạt–nội dung và sử dụng trong đánh giá/học liệu; diễn giải: Yêu cầu cần đạt là căn cứ bắt buộc để xác định độ rộng, độ sâu, phương pháp và công cụ đánh giá.",needs_hnmu_review,GUIDE-G9-001,source_evidence
LM-GUIDE-TINTHCS-TAPHUAN2019#F0002,LM-GUIDE-TINTHCS-TAPHUAN2019,18,19,GUIDE-G9-002 — Động từ và mức độ yêu cầu,2,"§V.3, Nội dung giáo dục cụ thể và yêu cầu cần đạt của một số chủ đề; Mục a và b về từ ngữ/mức độ và các ví dụ tránh gây quá tải; diễn giải: Mức độ của item phải khớp động từ và giới hạn nêu trong requirement.",needs_hnmu_review,GUIDE-G9-002,source_evidence
LM-GUIDE-TINTHCS-TAPHUAN2019#F0003,LM-GUIDE-TINTHCS-TAPHUAN2019,44,44,GUIDE-G9-003 — Căn cứ đánh giá,3,"§VII.2.2, Căn cứ và nội dung đánh giá; Đoạn mở đầu của mục 2.2; diễn giải: Đánh giá không chỉ kiểm tra nhớ kiến thức mà phải quan sát biểu hiện năng lực phù hợp.",needs_hnmu_review,GUIDE-G9-003,source_evidence
LM-TAPHUAN-TIN9-0001#F0001,LM-TAPHUAN-TIN9-0001,6,8,Bài tập SGK trang 6 và 8,1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S001; C01-S004; C01-S007,needs_hnmu_review,LM-01,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0002#F0001,LM-TAPHUAN-TIN9-0002,11,11,Luyện tập SGK trang 11,1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S003,needs_hnmu_review,LM-02,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0003#F0001,LM-TAPHUAN-TIN9-0003,12,14,"Nhiệm vụ chọn trường sau THCS, SGK trang 12–14",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S003,needs_hnmu_review,LM-03,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0004#F0001,LM-TAPHUAN-TIN9-0004,17,19,"Sử dụng Internet đúng luật, SGK trang 17–19",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S005,needs_hnmu_review,LM-04,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0005#F0001,LM-TAPHUAN-TIN9-0005,22,22,"Vận dụng pha màu, SGK trang 22",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S010,needs_hnmu_review,LM-05,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0006#F0001,LM-TAPHUAN-TIN9-0006,23,26,"Ba nhiệm vụ thực hành, SGK trang 23–26",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S006; C01-S008,needs_hnmu_review,LM-06,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0007#F0001,LM-TAPHUAN-TIN9-0007,27,29,"Dự án Triển lãm Tin học, SGK trang 27–29",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S009,needs_hnmu_review,LM-07,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0008#F0001,LM-TAPHUAN-TIN9-0008,1,3,"Nhiệm vụ 1–3, SGK trang 30–33",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S009; C01-S011,needs_hnmu_review,LM-08,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0009#F0001,LM-TAPHUAN-TIN9-0009,76,78,"Thuật toán bám tường, SGK trang 76–78",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S012; C01-S015,needs_hnmu_review,LM-09,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0010#F0001,LM-TAPHUAN-TIN9-0010,79,82,"Bài toán tính lương, SGK trang 79–82",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S014,needs_hnmu_review,LM-10,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0011#F0001,LM-TAPHUAN-TIN9-0011,83,86,"Tính lương và tìm max, SGK trang 83–86",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S002; C01-S013; C01-S014; C01-S016,needs_hnmu_review,LM-11,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0012#F0001,LM-TAPHUAN-TIN9-0012,,,"Khối lặp đến khi, rẽ nhánh, cảm biến màu và lệnh quay",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S012; C01-S015,needs_hnmu_review,LM-12,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0013#F0001,LM-TAPHUAN-TIN9-0013,,,"Biến màu C, M, Y và kết quả mô phỏng",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S010,needs_hnmu_review,LM-13,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0014#F0001,LM-TAPHUAN-TIN9-0014,1,60,"Kiểm tra 1–60 giờ; 40 giờ định mức; hệ số vượt giờ 1,5",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S002; C01-S014; C01-S016,needs_hnmu_review,LM-14,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0015#F0001,LM-TAPHUAN-TIN9-0015,0,0,Nhập số nguyên dương; số 0 kết thúc; biến x và max,1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S013,needs_hnmu_review,LM-15,source_evidence_needs_segmentation
LM-TAPHUAN-TIN9-0016#F0001,LM-TAPHUAN-TIN9-0016,87,90,"Nghề Tin học, doanh nghiệp và bình đẳng giới, SGK trang 87–90",1,Bản v0 lấy từ example_source_registry; cần OCR/chia đoạn lại nếu dùng làm căn cứ chính. Ví dụ liên quan: C01-S017; C01-S018,needs_hnmu_review,LM-16,source_evidence_needs_segmentation
