coverage_id,topic_id,topic_label,topic_lesson_scope,task_id,task_name,cognitive_level,primary_format_family,secondary_format_family,primary_student_work_type,secondary_student_work_type,student_work_type_note,coverage_priority,p06_example_priority,why_cover,authoring_hint,risk_or_review_note
P05-COV-011,TIN9-CD01,Máy tính và cộng đồng,Bài 1,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Hiểu,F03,F01,SWT04,SWT03,Ưu tiên bài làm/lập luận có lỗi hoặc thiếu ý để tutor chẩn đoán bản chất lỗi trước khi hướng dẫn.,core,cao,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Hiểu trong cụm chủ đề “Máy tính và cộng đồng”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 1; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-012,TIN9-CD01,Máy tính và cộng đồng,Bài 1,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Vận dụng,F03,F01,SWT04,SWT03,Ưu tiên bài làm/lập luận có lỗi hoặc thiếu ý để tutor chẩn đoán bản chất lỗi trước khi hướng dẫn.,recommended,trung bình,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Vận dụng trong cụm chủ đề “Máy tính và cộng đồng”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 1; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-013,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T1,Giải thích thích ứng,Biết,F01,F03,SWT01,SWT03,"Ưu tiên câu hỏi khái niệm/quy trình về thông tin, tìm kiếm và trao đổi thông tin.",core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Biết trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 2–3; tutor cần giải thích vừa sức ở mức Biết.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-014,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T1,Giải thích thích ứng,Hiểu,F01,F03,SWT01,SWT03,"Ưu tiên câu hỏi khái niệm/quy trình về thông tin, tìm kiếm và trao đổi thông tin.",core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Hiểu trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 2–3; tutor cần giải thích vừa sức ở mức Hiểu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-015,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T1,Giải thích thích ứng,Vận dụng,F01,F03,SWT01,SWT03,"Ưu tiên câu hỏi khái niệm/quy trình về thông tin, tìm kiếm và trao đổi thông tin.",recommended,trung bình,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Vận dụng trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 2–3; tutor cần giải thích vừa sức ở mức Vận dụng.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-016,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T2,Phản hồi bài làm hoặc lập luận của học sinh,Biết,F03,F02,SWT02,SWT03,"Ở mức Biết, có thể dùng đáp án trắc nghiệm kèm yêu cầu giải thích để tutor phản hồi đúng-sai-thiếu.",recommended,trung bình,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Biết trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 2–3; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-017,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T2,Phản hồi bài làm hoặc lập luận của học sinh,Hiểu,F03,F02,SWT03,SWT02,"Ưu tiên câu trả lời tự luận/lập luận về tìm kiếm, đánh giá và sử dụng thông tin; trắc nghiệm có giải thích là phương án phụ.",core,cao,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Hiểu trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 2–3; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-018,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T2,Phản hồi bài làm hoặc lập luận của học sinh,Vận dụng,F03,F02,SWT03,SWT02,"Ưu tiên câu trả lời tự luận/lập luận về tìm kiếm, đánh giá và sử dụng thông tin; trắc nghiệm có giải thích là phương án phụ.",core,cao,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Vận dụng trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 2–3; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-019,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T3,Gợi ý từng bước để học sinh tự đi tiếp,Biết,F03,F01,SWT03,SWT01,Ưu tiên học sinh bị kẹt khi đánh giá thông tin hoặc giải thích tiêu chí.,optional,thấp,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Biết trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 2–3; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-020,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T3,Gợi ý từng bước để học sinh tự đi tiếp,Hiểu,F03,F01,SWT03,SWT01,Ưu tiên học sinh bị kẹt khi đánh giá thông tin hoặc giải thích tiêu chí.,recommended,trung bình,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Hiểu trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 2–3; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-021,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T3,Gợi ý từng bước để học sinh tự đi tiếp,Vận dụng,F03,F01,SWT03,SWT01,Ưu tiên học sinh bị kẹt khi đánh giá thông tin hoặc giải thích tiêu chí.,core,cao,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Vận dụng trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 2–3; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-022,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Biết,F03,F01,SWT04,SWT03,Ưu tiên bài làm/lập luận có lỗi hoặc thiếu ý để tutor chẩn đoán bản chất lỗi trước khi hướng dẫn.,optional,thấp,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Biết trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 2–3; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-023,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Hiểu,F03,F01,SWT04,SWT03,Ưu tiên bài làm/lập luận có lỗi hoặc thiếu ý để tutor chẩn đoán bản chất lỗi trước khi hướng dẫn.,core,cao,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Hiểu trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 2–3; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-024,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2–3,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Vận dụng,F03,F01,SWT04,SWT03,Ưu tiên bài làm/lập luận có lỗi hoặc thiếu ý để tutor chẩn đoán bản chất lỗi trước khi hướng dẫn.,core,cao,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Vận dụng trong cụm chủ đề “Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 2–3; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-025,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T1,Giải thích thích ứng,Biết,F03,F01,SWT09,SWT01,"Học sinh thường hỏi/nhận định về tình huống pháp luật, đạo đức hoặc văn hoá số; có thể cần giải thích khái niệm liên quan.",core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Biết trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 4; tutor cần giải thích vừa sức ở mức Biết.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-026,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T1,Giải thích thích ứng,Hiểu,F03,F01,SWT09,SWT01,"Học sinh thường hỏi/nhận định về tình huống pháp luật, đạo đức hoặc văn hoá số; có thể cần giải thích khái niệm liên quan.",core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Hiểu trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 4; tutor cần giải thích vừa sức ở mức Hiểu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-027,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T1,Giải thích thích ứng,Vận dụng,F03,F01,SWT09,SWT01,"Học sinh thường hỏi/nhận định về tình huống pháp luật, đạo đức hoặc văn hoá số; có thể cần giải thích khái niệm liên quan.",core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Vận dụng trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 4; tutor cần giải thích vừa sức ở mức Vận dụng.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-028,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T2,Phản hồi bài làm hoặc lập luận của học sinh,Biết,F03,F02,SWT09,SWT03,Ưu tiên tình huống hoặc lập luận về đạo đức/pháp luật/văn hoá số để kiểm tra tutor có bám phạm vi và ranh giới an toàn hay không.,recommended,trung bình,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Biết trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 4; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-029,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T2,Phản hồi bài làm hoặc lập luận của học sinh,Hiểu,F03,F02,SWT09,SWT03,Ưu tiên tình huống hoặc lập luận về đạo đức/pháp luật/văn hoá số để kiểm tra tutor có bám phạm vi và ranh giới an toàn hay không.,core,cao,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Hiểu trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 4; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-030,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T2,Phản hồi bài làm hoặc lập luận của học sinh,Vận dụng,F03,F02,SWT09,SWT03,Ưu tiên tình huống hoặc lập luận về đạo đức/pháp luật/văn hoá số để kiểm tra tutor có bám phạm vi và ranh giới an toàn hay không.,core,cao,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Vận dụng trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 4; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-031,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T3,Gợi ý từng bước để học sinh tự đi tiếp,Biết,F03,F01,SWT09,SWT03,Ưu tiên tình huống hoặc lập luận về đạo đức/pháp luật/văn hoá số để kiểm tra tutor có bám phạm vi và ranh giới an toàn hay không.,optional,thấp,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Biết trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 4; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-032,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T3,Gợi ý từng bước để học sinh tự đi tiếp,Hiểu,F03,F01,SWT09,SWT03,Ưu tiên tình huống hoặc lập luận về đạo đức/pháp luật/văn hoá số để kiểm tra tutor có bám phạm vi và ranh giới an toàn hay không.,recommended,trung bình,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Hiểu trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 4; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
