benchmark_candidate_id,sample_id,grade,lesson,position,bloom_level,student_prompt,conversation_history,source_question,gold_answer,focus_principle_id,case_type,expected_score_min,expected_score_max,case_origin,source_candidate_id,boundary_rationale,uet_status
CAL-EXP-N02,CAL-S-EXP-N02,8,Bảng tính điện tử,Mục calibration,Nhận biết,"Hàm nào dùng để tính tổng trong bảng tính?",[],"Nêu tên hàm tính tổng.","Hàm SUM dùng để tính tổng.",PRINCIPLE-EXPLANATION,near_miss,1,3,controlled_contrast,,"Một đáp án định danh trực tiếp không tự động tạo nhu cầu giải thích.",pending_review
CAL-EXP-N03,CAL-S-EXP-N03,7,Văn hóa số,Mục calibration,Nhận biết,"Em cần liệt kê hai việc không nên làm khi giao tiếp trên mạng.",[],"Liệt kê hai hành vi không phù hợp trên mạng.","Không xúc phạm người khác và không chia sẻ thông tin riêng tư khi chưa được phép.",PRINCIPLE-EXPLANATION,near_miss,1,3,controlled_contrast,,"Yêu cầu liệt kê chưa chứng minh phản hồi phải giải thích nguyên nhân.",pending_review
CAL-MOD-P01,CAL-S-MOD-P01,7,Lập trình trực quan,Mục calibration,Vận dụng,"Em hiểu khối lặp nhưng không biết ghép nó với khối di chuyển thế nào. Thầy cô làm mẫu một lượt ngắn rồi để em tự làm phần còn lại nhé.",[],"Tạo chuyển động lặp lại cho nhân vật.","Đặt khối di chuyển bên trong khối lặp và chọn đúng số lần.",PRINCIPLE-MODELLING,positive,4,5,controlled_contrast,,"Học sinh cần quan sát cách ghép và áp dụng các khối trước khi tự tiếp tục.",pending_review
CAL-MOD-P02,CAL-S-MOD-P02,8,Bảng tính điện tử,Mục calibration,Vận dụng,"Em biết công thức nhưng cứ chọn sai vùng dữ liệu. Hãy cho em xem cách xác định vùng ở một ví dụ rồi em sẽ làm bảng của mình.",[],"Xác định vùng dữ liệu trong công thức.","Vùng phải bao phủ đúng các ô chứa dữ liệu cần tính.",PRINCIPLE-MODELLING,positive,4,5,controlled_contrast,,"Nhu cầu độc lập là quan sát đường quyết định xác định vùng trên một trường hợp mẫu.",pending_review
CAL-MOD-P03,CAL-S-MOD-P03,9,Thuật toán,Mục calibration,Vận dụng,"Em không biết theo dõi biến qua từng vòng lặp. Thầy cô minh họa bảng giá trị cho hai vòng đầu để em làm tiếp nhé.",[],"Theo dõi giá trị biến trong vòng lặp.","Lập bảng theo từng vòng và cập nhật giá trị theo đúng câu lệnh.",PRINCIPLE-MODELLING,positive,4,5,controlled_contrast,,"Học sinh yêu cầu quan sát cách biểu diễn quy trình rồi chuyển giao phần còn lại.",pending_review
CAL-MOD-N01,CAL-S-MOD-N01,6,Mạng máy tính,Mục calibration,Nhận biết,"Thiết bị nào dùng để kết nối các máy tính trong mạng cục bộ?",[],"Nêu thiết bị kết nối trong mạng cục bộ.","Có thể dùng bộ chuyển mạch để kết nối các thiết bị trong mạng cục bộ.",PRINCIPLE-MODELLING,near_miss,1,3,controlled_contrast,,"Câu hỏi cần một thông tin trực tiếp và không cần biểu diễn cách áp dụng.",pending_review
CAL-MOD-N02,CAL-S-MOD-N02,8,Bảng tính điện tử,Mục calibration,Thông hiểu,"Em muốn biết các bước chèn một biểu đồ vào trang tính.",[],"Nêu các bước tạo biểu đồ.","Chọn dữ liệu rồi chọn lệnh chèn biểu đồ và thiết lập loại biểu đồ.",PRINCIPLE-MODELLING,near_miss,1,3,controlled_contrast,,"Chỉ yêu cầu nêu chuỗi bước nên làm mẫu là một lựa chọn chứ chưa bắt buộc.",pending_review
CAL-MOD-N03,CAL-S-MOD-N03,7,Thuật toán,Mục calibration,Thông hiểu,"Cho em một ví dụ về dữ liệu đầu vào của thuật toán tính trung bình.",[],"Nêu ví dụ về dữ liệu đầu vào.","Một dãy điểm số là ví dụ phù hợp.",PRINCIPLE-MODELLING,near_miss,1,3,controlled_contrast,,"Một ví dụ dữ kiện bề mặt không đồng nghĩa với làm mẫu quy trình hay dòng suy nghĩ.",pending_review
CAL-PRA-P01,CAL-S-PRA-P01,6,Tìm kiếm thông tin,Mục calibration,Vận dụng,"Em đã hiểu cách chọn từ khóa qua ví dụ rồi. Cho em ba yêu cầu khác để em tự đặt từ khóa và luyện cho quen nhé.",[],"Luyện lựa chọn từ khóa cho nhiều nhu cầu tìm kiếm.","Từ khóa cần ngắn gọn và thể hiện đúng nội dung cần tìm.",PRINCIPLE-PRACTICE,positive,4,5,controlled_contrast,,"Học sinh đã được hướng dẫn và cần lặp lại việc áp dụng để thành thạo.",pending_review
CAL-PRA-P02,CAL-S-PRA-P02,8,Bảng tính điện tử,Mục calibration,Vận dụng,"Em vừa sửa đúng công thức đầu tiên. Em muốn tự làm thêm vài công thức tương tự để khỏi nhầm địa chỉ ô.",[],"Củng cố cách dùng địa chỉ ô trong công thức.","Cần chọn đúng địa chỉ tương đối hoặc tuyệt đối theo mục đích sao chép.",PRINCIPLE-PRACTICE,positive,4,5,controlled_contrast,,"Nhu cầu được nêu trực tiếp là củng cố và tăng khả năng làm độc lập.",pending_review
CAL-PRA-P03,CAL-S-PRA-P03,9,Lập trình,Mục calibration,Vận dụng,"Em đã viết được một vòng lặp. Cho em bài tương tự với dữ liệu khác để em tự viết lại mà không nhìn mẫu.",[],"Luyện viết vòng lặp độc lập.","Chương trình phải có điều kiện lặp và cập nhật biến đúng.",PRINCIPLE-PRACTICE,positive,4,5,controlled_contrast,,"Học sinh cần lặp lại kỹ năng trên dữ liệu mới để kiểm tra sự thành thạo.",pending_review
CAL-PRA-N01,CAL-S-PRA-N01,7,Lập trình trực quan,Mục calibration,Vận dụng,"Em đang làm chương trình và đã đặt khối sự kiện. Bước tiếp theo em phải kéo khối nào?",[],"Hoàn thành chương trình di chuyển nhân vật.","Đặt khối chuyển động sau khối sự kiện.",PRINCIPLE-PRACTICE,near_miss,1,3,controlled_contrast,,"Đây là một bước bắt buộc của bài đang giải chứ chưa phải hoạt động luyện củng cố.",pending_review
CAL-PRA-N02,CAL-S-PRA-N02,6,Mạng máy tính,Mục calibration,Thông hiểu,"Máy em không vào mạng được. Thầy cô cần em cung cấp thông tin gì để biết lỗi?",[],"Thu thập thông tin để xác định nguyên nhân mất kết nối.","Cần biết trạng thái kết nối và thông báo lỗi trước khi chẩn đoán.",PRINCIPLE-PRACTICE,near_miss,1,3,controlled_contrast,,"Yêu cầu học sinh trả lời để thu thập dữ liệu không có chức năng luyện tập.",pending_review
CAL-PRA-N03,CAL-S-PRA-N03,9,An toàn thông tin,Mục calibration,Phân tích,"Em đã hiểu quy tắc mật khẩu. Cho em phân tích một tình huống tấn công mới khó hơn.",[],"Phân tích nguy cơ an toàn trong tình huống mới.","Cần xác định tài sản nguy cơ và biện pháp bảo vệ phù hợp.",PRINCIPLE-PRACTICE,near_miss,1,3,controlled_contrast,,"Đây chủ yếu là nâng thử thách nhận thức mới chứ không đủ bằng chứng về nhu cầu lặp để thành thạo.",pending_review
CAL-FEE-P01,CAL-S-FEE-P01,6,Thuật toán,Mục calibration,Vận dụng,"Em làm như sau: cộng ba số rồi chia cho hai để tính trung bình của ba số. Em sai ở đâu ạ?",[],"Nhận xét cách tính trung bình của học sinh.","Phải chia tổng cho ba vì có ba số.",PRINCIPLE-FEEDBACK,positive,4,5,controlled_contrast,,"Có cách làm cụ thể và một lỗi cần được chỉ ra để học sinh điều chỉnh.",pending_review
CAL-FEE-P02,CAL-S-FEE-P02,8,Bảng tính điện tử,Mục calibration,Vận dụng,"Công thức em viết là =SUM(A1:A5) nhưng dữ liệu thực tế nằm từ B1 đến B5. Thầy cô xem giúp em.",[],"Nhận xét và sửa công thức dựa trên vùng dữ liệu.","Công thức đúng phải dùng vùng B1:B5.",PRINCIPLE-FEEDBACK,positive,4,5,controlled_contrast,,"Đầu ra của học sinh chứa sai lệch xác định và cần phản hồi dẫn hướng sửa.",pending_review
CAL-FEE-P03,CAL-S-FEE-P03,9,Lập trình,Mục calibration,Phân tích,"Vòng lặp của em không dừng vì em quên tăng biến đếm. Em định thêm i = i + 1 ở cuối vòng. Cách sửa này ổn chưa?",[],"Đánh giá phương án sửa lỗi vòng lặp.","Cần cập nhật biến đếm đúng vị trí và bảo đảm điều kiện dừng sẽ đạt được.",PRINCIPLE-FEEDBACK,positive,4,5,controlled_contrast,,"Học sinh đưa ra chẩn đoán và phương án cụ thể cần được đánh giá có căn cứ.",pending_review
CAL-FEE-N01,CAL-S-FEE-N01,6,Tìm kiếm thông tin,Mục calibration,Nhận biết,"Em trả lời Google là một máy tìm kiếm. Em chỉ muốn biết câu trả lời đó có đúng không.",[],"Xác nhận một câu trả lời đúng.","Google là một máy tìm kiếm.",PRINCIPLE-FEEDBACK,near_miss,1,3,controlled_contrast,,"Chỉ cần xác nhận đúng và không có điểm cần cải thiện nên Feedback không bắt buộc ở mức cao.",pending_review
CAL-FEE-N02,CAL-S-FEE-N02,7,Văn hóa số,Mục calibration,Nhận biết,"Em đã hoàn thành bài rồi. Thầy cô khen em một câu được không?",[],"Phản hồi xã giao sau khi hoàn thành.","Có thể ghi nhận nỗ lực nhưng không có sản phẩm cụ thể để nhận xét.",PRINCIPLE-FEEDBACK,near_miss,1,3,controlled_contrast,,"Lời khen không dựa trên đầu ra cụ thể và không dẫn hướng cải thiện.",pending_review
CAL-FEE-N03,CAL-S-FEE-N03,8,Bảng tính điện tử,Mục calibration,Thông hiểu,"Em chưa làm thử công thức nào. Hãy giải thích địa chỉ tuyệt đối trước để em bắt đầu.",[],"Giải thích địa chỉ tuyệt đối.","Địa chỉ tuyệt đối được giữ nguyên khi sao chép công thức.",PRINCIPLE-FEEDBACK,near_miss,1,3,controlled_contrast,,"Chưa có câu trả lời hoặc cách làm của học sinh để làm đối tượng phản hồi.",pending_review
CAL-QUE-P01,CAL-S-QUE-P01,7,Lập trình trực quan,Mục calibration,Vận dụng,"Chương trình của em không chạy nhưng em chưa nói nó hiện lỗi gì và khối lệnh nào đang dùng.",[],"Thu thập thông tin tối thiểu trước khi chẩn đoán lỗi.","Cần biết khối lệnh và hiện tượng cụ thể mới chọn được hướng sửa.",PRINCIPLE-QUESTIONING,positive,4,5,controlled_contrast,,"Thiếu thông tin quyết định và câu trả lời của học sinh là điều kiện để chẩn đoán.",pending_review
CAL-QUE-P02,CAL-S-QUE-P02,8,Bảng tính điện tử,Mục calibration,Vận dụng,"Em muốn tự tìm lỗi trong công thức này. Thầy cô hãy hỏi từng bước để em tự chỉ ra vùng dữ liệu sai.",[],"Dẫn dắt học sinh tự kiểm tra công thức.","Học sinh cần đối chiếu vùng trong công thức với vùng dữ liệu thực tế.",PRINCIPLE-QUESTIONING,positive,4,5,controlled_contrast,,"Việc học sinh tự trả lời từng bước là mục tiêu sư phạm thiết yếu đã được nêu rõ.",pending_review
CAL-QUE-P03,CAL-S-QUE-P03,9,Thuật toán,Mục calibration,Phân tích,"Em có hai cách giải nhưng chưa biết chọn cách nào. Hãy hỏi em về kích thước dữ liệu và giới hạn thời gian trước khi tư vấn.",[],"Chọn giải pháp dựa trên điều kiện sử dụng.","Cần biết quy mô dữ liệu và giới hạn tài nguyên để so sánh hai cách.",PRINCIPLE-QUESTIONING,positive,4,5,controlled_contrast,,"Phản hồi phù hợp phụ thuộc trực tiếp vào thông tin học sinh chưa cung cấp.",pending_review
CAL-QUE-N01,CAL-S-QUE-N01,6,Mạng máy tính,Mục calibration,Nhận biết,"Mạng máy tính là gì ạ?",[],"Nêu khái niệm mạng máy tính.","Mạng máy tính gồm các thiết bị được kết nối để trao đổi dữ liệu.",PRINCIPLE-QUESTIONING,near_miss,1,3,controlled_contrast,,"Đầu vào đủ rõ để trả lời trực tiếp và không bắt buộc thu thập thêm thông tin.",pending_review
CAL-QUE-N02,CAL-S-QUE-N02,8,Bảng tính điện tử,Mục calibration,Thông hiểu,"Em chỉ cần biết vì sao địa chỉ A1 đổi thành A2 khi sao chép công thức.",[],"Giải thích sự thay đổi của địa chỉ tương đối.","Địa chỉ tương đối thay đổi theo vị trí sao chép.",PRINCIPLE-QUESTIONING,near_miss,1,3,controlled_contrast,,"Một câu hỏi kiểm tra thêm sau giải thích có thể hữu ích nhưng câu trả lời không quyết định phản hồi.",pending_review
CAL-QUE-N03,CAL-S-QUE-N03,7,Văn hóa số,Mục calibration,Nhận biết,"Hãy nêu hai quy tắc giao tiếp lịch sự trên mạng. Em không cần làm bài tương tác.",[],"Nêu hai quy tắc giao tiếp lịch sự.","Tôn trọng người khác và cân nhắc trước khi đăng nội dung.",PRINCIPLE-QUESTIONING,near_miss,1,3,controlled_contrast,,"Nhiệm vụ và phạm vi đã đủ rõ nên đặt câu hỏi chỉ là chiến lược tùy chọn.",pending_review
