sample_id,grade,lesson,position,evidence_fragment_id,evidence_material_type,evidence_lesson_title,evidence_page_start,evidence_source_markdown_path,evidence_status,evidence_match_reason,needs_learning_resource_review,consistency_issue_codes
HNMU-G8-R0039-STT10,8,Bài 3. Thực hành: Khai thác thông tin số,"Nhiệm vụ 3, Trang 17 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0040-STT11,8,Bài 3. Thực hành: Khai thác thông tin số,"Nhiệm vụ 1, Bước 2, Trang 15 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0041-STT12,8,Bài 3. Thực hành: Khai thác thông tin số,"Nhiệm vụ 2, Trang 16 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0042-STT13,8,Bài 3. Thực hành: Khai thác thông tin số,"Luyện tập 2, Trang 17 SGK",LM-SGK-TIN8-0001#F0048,SGK,Bài 3. Thực hành: Khai thác thông tin số,17,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0043-STT14,8,Bài 3. Thực hành: Khai thác thông tin số,"Vận dụng 1, Trang 17 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0044-STT1,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 1, Trang 18 SGK",LM-SGK-TIN8-0001#F0054,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo câu hỏi và metadata bài học.,false,
HNMU-G8-R0045-STT2,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 2, Trang 19 SGK",LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0046-STT3,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 1, Trang 18 SGK",LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0047-STT4,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 2, Trang 19-20 SGK",LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0048-STT5,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 1, Trang 19 SGK",LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0049-STT6,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 2, Trang 19 SGK",LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0050-STT7,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 1, Trang 19 SGK",LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0051-STT8,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 1, Trang 19 SGK",LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0052-STT9,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 1, Trang 18 SGK",LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0053-STT10,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,"Mục 1,Trang 18 SGK",LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0054-STT11,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Câu hỏi a. Trang 20,LM-SGK-TIN8-0001#F0054,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo câu hỏi và metadata bài học.,false,
HNMU-G8-R0055-STT12,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Vận dụng thực tế,LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0056-STT13,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Tình huống ứng dụng,LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0057-STT14,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Dự án học tập,LM-SGK-TIN8-0001#F0056,SGK,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,20,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_4/tin_8_bai_4.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0058-STT1,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Mục 1, Trang 22 SGK",LM-SGK-TIN8-0001#F0062,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,22,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo câu hỏi và metadata bài học.,false,
HNMU-G8-R0059-STT2,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Mục 2, Trang 23 SGK",LM-SGK-TIN8-0001#F0065,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,23,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0060-STT3,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Mục 2, Trang 23 SGK",LM-SGK-TIN8-0001#F0074,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,25,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0061-STT4,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Mục 2, Trang 23 SGK",LM-SGK-TIN8-0001#F0086,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,26,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0062-STT5,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Mục 1, Trang 22 SGK",LM-SGK-TIN8-0001#F0065,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,23,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo câu hỏi và metadata bài học.,false,
HNMU-G8-R0063-STT6,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Mục 2, Trang 23 SGK",LM-SGK-TIN8-0001#F0065,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,23,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0064-STT7,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Mục 2, Trang 23 SGK",LM-SGK-TIN8-0001#F0086,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,26,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0065-STT8,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Luyện tập 2, Trang 26 SGK",LM-SGK-TIN8-0001#F0086,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,26,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0066-STT9,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Mục 1, Trang 22 SGK",LM-SGK-TIN8-0001#F0086,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,26,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0067-STT10,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Mục 1, Trang 22 SGK",LM-SGK-TIN8-0001#F0086,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,26,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0068-STT11,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Nhiệm vụ 1, Trang 23 SGK",LM-SGK-TIN8-0001#F0086,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,26,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0069-STT12,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Luyện tập 2f, Trang 26 SGK",LM-SGK-TIN8-0001#F0075,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,25,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0070-STT13,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Luyện tập 2, Trang 26 SGK",LM-SGK-TIN8-0001#F0086,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,26,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0071-STT14,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,"Vận dụng, Trang 26 SGK",LM-SGK-TIN8-0001#F0086,SGK,Bài 5. Sử dụng bảng tính giải quyết bài toán thực tế,26,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_5/tin_8_bai_5.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
