sample_id,grade,lesson,bloom_band,quality_decision,confidence_score,failure_reasons,suggested_reviewer_action,needs_sgv_verification,needs_learning_resource_review
HNMU-G8-R0033-STT4,8,Bài 3. Thực hành: Khai thác thông tin số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0034-STT5,8,Bài 3. Thực hành: Khai thác thông tin số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0035-STT6,8,Bài 3. Thực hành: Khai thác thông tin số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0036-STT7,8,Bài 3. Thực hành: Khai thác thông tin số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0037-STT8,8,Bài 3. Thực hành: Khai thác thông tin số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0038-STT9,8,Bài 3. Thực hành: Khai thác thông tin số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0039-STT10,8,Bài 3. Thực hành: Khai thác thông tin số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0040-STT11,8,Bài 3. Thực hành: Khai thác thông tin số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0041-STT12,8,Bài 3. Thực hành: Khai thác thông tin số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0042-STT13,8,Bài 3. Thực hành: Khai thác thông tin số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0043-STT14,8,Bài 3. Thực hành: Khai thác thông tin số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0044-STT1,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0045-STT2,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0046-STT3,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0047-STT4,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0048-STT5,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0049-STT6,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0050-STT7,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0051-STT8,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0052-STT9,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0053-STT10,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0054-STT11,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0055-STT12,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0056-STT13,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0057-STT14,8,Bài 4. Đạo đức và văn hoá trong sử dụng công nghệ kĩ thuật số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0058-STT1,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0059-STT2,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0060-STT3,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0061-STT4,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0062-STT5,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0063-STT6,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0064-STT7,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0065-STT8,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0066-STT9,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0067-STT10,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0068-STT11,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Vận dụng,failed,0.75,Hội thoại không có nhãn AI:.,exclude_from_current_batch,false,false
HNMU-G8-R0069-STT12,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0070-STT13,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0071-STT14,8,Bài 5: Sử dụng bảng tính giải quyết bài toán thực tế,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0072-STT1,8,Bài 6. Săp xếp và lọc dữ liệu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0073-STT2,8,Bài 6. Săp xếp và lọc dữ liệu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0074-STT3,8,Bài 6. Săp xếp và lọc dữ liệu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0075-STT4,8,Bài 6. Săp xếp và lọc dữ liệu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0076-STT5,8,Bài 6. Săp xếp và lọc dữ liệu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0077-STT6,8,Bài 6. Săp xếp và lọc dữ liệu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0078-STT7,8,Bài 6. Săp xếp và lọc dữ liệu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0079-STT8,8,Bài 6. Săp xếp và lọc dữ liệu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0080-STT9,8,Bài 6. Săp xếp và lọc dữ liệu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0081-STT10,8,Bài 6. Săp xếp và lọc dữ liệu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0082-STT11,8,Bài 6. Săp xếp và lọc dữ liệu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0083-STT12,8,Bài 6. Săp xếp và lọc dữ liệu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0084-STT13,8,Bài 6. Săp xếp và lọc dữ liệu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0085-STT14,8,Bài 6. Săp xếp và lọc dữ liệu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0086-STT1,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0087-STT2,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0088-STT3,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0089-STT4,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0090-STT5,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0091-STT6,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0092-STT7,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0093-STT8,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0094-STT9,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0095-STT10,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0096-STT11,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0097-STT12,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0098-STT13,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0099-STT14,8,Bài 7. Trình bày dữ liệu bằng biểu đồ,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0100-STT1,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0101-STT2,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0102-STT3,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0103-STT4,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0104-STT5,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0105-STT6,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0106-STT7,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0107-STT8,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0108-STT9,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0109-STT10,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0110-STT11,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0111-STT12,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0112-STT13,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0113-STT14,8,Bài 8a. Làm việc với danh sách dạng liệt kê và hình ảnh trong văn bản,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0114-STT1,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0115-STT2,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0116-STT3,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0117-STT4,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0118-STT5,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0119-STT6,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0120-STT7,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0121-STT8,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0122-STT9,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0123-STT10,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0124-STT11,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0125-STT12,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0126-STT13,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0127-STT14,8,"Bài 9a. Tạo đầu trang, chân trang và đánh số trang",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0128-STT1,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0129-STT2,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0130-STT3,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0131-STT4,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0132-STT5,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0133-STT6,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0134-STT7,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0135-STT8,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0136-STT9,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0137-STT10,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0138-STT11,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0139-STT12,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0140-STT13,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0141-STT14,8,Bài 10a. Định dạng nâng cao cho trang chiếu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0142-STT1,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0143-STT2,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0144-STT3,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0145-STT4,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0146-STT5,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0147-STT6,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0148-STT7,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0149-STT8,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0150-STT9,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0151-STT10,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0152-STT11,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0153-STT12,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0154-STT13,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0155-STT14,8,Bài 11a. Sử dụng bản mẫu tạo bài trình chiếu,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0156-STT1,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0157-STT2,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0158-STT3,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0159-STT4,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0160-STT5,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0161-STT6,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0162-STT7,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0163-STT8,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0164-STT9,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0165-STT10,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0166-STT11,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0167-STT12,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0168-STT13,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0169-STT14,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0170-STT1,8,"[9b] Thay đổi khung hình, kích thước ảnh",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0171-STT2,8,"[9b] Thay đổi khung hình, kích thước ảnh",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0172-STT3,8,"[9b] Thay đổi khung hình, kích thước ảnh",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0173-STT4,8,"[9b] Thay đổi khung hình, kích thước ảnh",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0174-STT5,8,"[9b] Thay đổi khung hình, kích thước ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0175-STT6,8,"[9b] Thay đổi khung hình, kích thước ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0176-STT7,8,"[9b] Thay đổi khung hình, kích thước ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0177-STT8,8,"[9b] Thay đổi khung hình, kích thước ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0178-STT9,8,"[9b] Thay đổi khung hình, kích thước ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0179-STT10,8,"[9b] Thay đổi khung hình, kích thước ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0180-STT11,8,"[9b] Thay đổi khung hình, kích thước ảnh",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0181-STT12,8,"[9b] Thay đổi khung hình, kích thước ảnh",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0182-STT13,8,"[9b] Thay đổi khung hình, kích thước ảnh",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0183-STT14,8,"[9b] Thay đổi khung hình, kích thước ảnh",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0184-STT1,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0185-STT2,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0186-STT3,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0187-STT4,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0188-STT5,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0189-STT6,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0190-STT7,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0191-STT8,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0192-STT9,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0193-STT10,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0194-STT11,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0195-STT12,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0196-STT13,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0197-STT14,8,"[10b] Thêm văn bản, tạo hiệu ứng cho ảnh",Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0198-STT1,8,[11b] Thực hành tổng hợp,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0199-STT2,8,[11b] Thực hành tổng hợp,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0200-STT3,8,[11b] Thực hành tổng hợp,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0201-STT4,8,[11b] Thực hành tổng hợp,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0202-STT5,8,[11b] Thực hành tổng hợp,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0203-STT6,8,[11b] Thực hành tổng hợp,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0204-STT7,8,[11b] Thực hành tổng hợp,Thông hiểu,pass,1.0,,keep,false,false
