review_priority,queue_type,eligibility_status,benchmark_candidate_id,sample_id,grade,lesson,bloom_level,has_history,history_turn_count,target_tutor_turn_index,family_position,required_principle_set,alternative_principle_set,review_reasons,principle_scores_json,flagged_details_json,uet_disposition,uet_notes
3,flagged,needs_uet_review,BC-HNMU-G6-R0034-STT5-AI04,HNMU-G6-R0034-STT5,6,Bài 3. Thông tin trong máy tinh,Thông hiểu (Giải thích được lý do),true,2,4,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-QUESTIONING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":5,""PRINCIPLE-FEEDBACK"":4,""PRINCIPLE-MODELLING"":2,""PRINCIPLE-PRACTICE"":1,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""Lượt 3 của học sinh đưa ra câu trả lời cụ thể: \""Dạ có 2 là Sáng và Tắt ạ.\"""",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh đã tương tác và đưa ra câu trả lời chính xác ở lượt 3, do đó cần được gia sư ghi nhận và xác nhận tính đúng đắn này để duy trì sự tự tin và mạch tư duy. Nếu bỏ nguyên tắc này: Nếu không phản hồi trực tiếp câu trả lời của học sinh mà chuyển ngay sang nội dung khác, học sinh sẽ không biết câu trả lời của mình đã đúng hướng chưa, làm giảm hiệu quả của phương pháp gợi mở."",""requirement_score"":4}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0042-STT13-AI06,HNMU-G6-R0042-STT13,6,Bài 3. Thông tin trong máy tinh,Vận dụng (Thực hiện thao tác thực tế),true,4,6,last,"[""PRINCIPLE-FEEDBACK"",""PRINCIPLE-QUESTIONING""]","[""PRINCIPLE-EXPLANATION""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":3,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":2,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":5}","[{""evidence"":""conversation_history (lượt 4 và 5)"",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh đã thực hiện đúng chỉ dẫn ở lượt trước và phản hồi kết quả tìm thấy chữ 'Properties!'. Học sinh có nhu cầu nhận được sự xác nhận ngay lập tức từ gia sư rằng họ đã thao tác đúng trước khi tiến hành nhấp chuột mở bảng này. Nếu bỏ nguyên tắc này: Gia sư sẽ bỏ qua nỗ lực thực hành của học sinh, khiến học sinh hoang mang không rõ mình đã chọn đúng thư mục hay chưa, làm gián đoạn mạch tự tin trong thao tác thực tế."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0044-STT1-AI06,HNMU-G6-R0044-STT1,6,Bài 4. Mạng máy tính,Nhận biết (Biết được khái niệm),true,4,6,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK"",""PRINCIPLE-QUESTIONING""]","[""PRINCIPLE-PRACTICE""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":5,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":3,""PRINCIPLE-QUESTIONING"":4}","[{""evidence"":""turn_index:5"",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa đưa ra câu trả lời cho câu hỏi gợi mở của gia sư ở lượt 5 (\""Để gửi tin nhắn hay hình ảnh cho nhau ạ\""). Học sinh có nhu cầu nhận được sự xác nhận tính đúng đắn của câu trả lời này và biết cách nó liên kết với khái niệm \""truyền thông tin\"" như thế nào. Nếu bỏ nguyên tắc này: Phản hồi của gia sư sẽ bỏ qua đóng góp của học sinh, làm đứt gãy mạch tương tác và giảm động lực tự suy luận của học sinh."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0049-STT6-AI04,HNMU-G6-R0049-STT6,6,Bài 4. Mạng máy tính,Thông hiểu (Phân biệt đặc điểm),true,2,4,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-QUESTIONING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":4,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""conversation_history (lượt 3): \""Dạ dùng sóng Wifi ạ.\"""",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa đưa ra một câu trả lời cụ thể ở lượt 3 (\""Dạ dùng sóng Wifi ạ\""). Học sinh cần nhận được phản hồi trực tiếp để biết câu trả lời của mình đã chính xác chưa, đồng thời nhận ra mối liên hệ của nó với khái niệm tổng quát hơn.\nNếu bỏ nguyên tắc này: Phản hồi của gia sư sẽ bỏ qua nỗ lực trả lời của học sinh, không giúp học sinh xác nhận tính đúng đắn của kiến thức mình vừa đưa ra, làm mất đi tính tương tác sư phạm cần thiết."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0051-STT8-AI04,HNMU-G6-R0051-STT8,6,Bài 4. Mạng máy tính,Thông hiểu (Giải thích chức năng),true,2,4,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-PRACTICE"",""PRINCIPLE-QUESTIONING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":4,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":3,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""turn_index: 3"",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh đã đưa ra câu trả lời cho câu hỏi lựa chọn của gia sư ở lượt trước (\""Em nghĩ nó là điểm nối...\"") và cần nhận được phản hồi ngay lập tức để xác nhận xem suy nghĩ của mình có chính xác không. Nếu bỏ nguyên tắc này: Gia sư sẽ bỏ qua câu trả lời của học sinh và chuyển sang nội dung khác, làm mất đi sự tương tác hai chiều và không giúp học sinh biết được tính đúng đắn trong suy luận của mình."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0052-STT9-AI04,HNMU-G6-R0052-STT9,6,Bài 4. Mạng máy tính,Thông hiểu (Giải thích vai trò),true,2,4,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-QUESTIONING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":5,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":2,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""turn_index 3: \""Dạ cần phần mềm để điều khiển ạ.\"""",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa đưa ra một câu trả lời cụ thể cho câu hỏi gợi mở của gia sư. Học sinh cần được xác nhận tính đúng đắn của ý kiến \""phần mềm để điều khiển\"" và biết mình đã đi đúng hướng hay chưa. Nếu bỏ nguyên tắc này: Phản hồi của gia sư sẽ trở nên áp đặt, bỏ qua nỗ lực tư duy của học sinh ở lượt trước và làm mất đi tính tương tác của cuộc hội thoại."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0053-STT10-AI06,HNMU-G6-R0053-STT10,6,Bài 4. Mạng máy tính,Thông hiểu (Giải thích khái niệm),true,4,6,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-QUESTIONING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":5,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""conversation_history lượt 3, 5 và gold_answer"",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa đưa ra câu trả lời chính xác về \""máy tính xách tay (laptop)\"" và trước đó là \""điện thoại và máy tính bảng\"". Học sinh cần được xác nhận tính đúng đắn của câu trả lời này, đồng thời cần gia sư liên kết, tổng hợp các câu trả lời riêng lẻ đó thành nhóm \""các thiết bị di động\"". Nếu bỏ nguyên tắc này: Học sinh sẽ không biết câu trả lời cuối cùng của mình đã hoàn toàn chính xác chưa và không thấy được mối liên hệ giữa các thiết bị mình tự liệt kê với câu hỏi tổng quát ban đầu."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0054-STT11-AI04,HNMU-G6-R0054-STT11,6,Bài 4. Mạng máy tính,Vận dụng (Xác định thành phần),true,2,4,middle,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-QUESTIONING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":4,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""conversation_history lượt 3"",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh đã tích cực suy luận và đưa ra câu trả lời cụ thể ở lượt 3 (\""Cả máy tính và máy in đều nhận dữ liệu...\""). Học sinh cần nhận được phản hồi ngay lập tức để xác nhận tính đúng đắn của lập luận này nhằm tự tin đi đến kết luận.\nNếu bỏ nguyên tắc này: Nếu không phản hồi và đánh giá câu trả lời của học sinh, phản hồi tiếp theo sẽ bỏ qua nỗ lực tư duy của học sinh, có thể khiến học sinh hoang mang không biết suy luận của mình có đúng hướng hay không."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0054-STT11-AI06,HNMU-G6-R0054-STT11,6,Bài 4. Mạng máy tính,Vận dụng (Xác định thành phần),true,4,6,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-QUESTIONING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":5,""PRINCIPLE-FEEDBACK"":4,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":1,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""conversation_history lượt 5: 'Dạ là thiết bị đầu cuối ạ! Thế còn mấy cái dây nối chúng là gì thầy?'"",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa đưa ra câu trả lời chính xác ('Dạ là thiết bị đầu cuối ạ!') ở lượt 5 sau một chuỗi gợi ý, do đó cần một phản hồi xác nhận rõ ràng để củng cố kiến thức và khích lệ tinh thần tự tin của học sinh trước khi chuyển sang nội dung mới. Nếu bỏ nguyên tắc này: Gia sư nếu chỉ tập trung trả lời câu hỏi về dây nối mà bỏ qua việc ghi nhận câu trả lời trước đó của học sinh sẽ khiến học sinh không chắc chắn liệu kết luận của mình về thiết bị đầu cuối đã hoàn toàn chính xác hay chưa."",""requirement_score"":4}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0055-STT12-AI04,HNMU-G6-R0055-STT12,6,Bài 4. Mạng máy tính,Vận dụng (Vẽ sơ đồ mạng),true,2,4,middle,"[""PRINCIPLE-FEEDBACK"",""PRINCIPLE-QUESTIONING""]","[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-MODELLING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":3,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":3,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":5}","[{""evidence"":""conversation_history lượt 3"",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa đưa ra câu trả lời cụ thể \""Dạ ở đầu ạ\"" và cần được xác nhận tính đúng đắn ngay lập tức để làm điểm tựa vững chắc cho các bước vẽ tiếp theo. Nếu bỏ nguyên tắc này: Gia sư sẽ bỏ qua câu trả lời của học sinh và chuyển ngay sang nội dung khác, khiến học sinh hoang mang không rõ giả định đặt Modem ở đầu của mình đã chính xác chưa."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0076-STT5-AI06,HNMU-G6-R0076-STT5,6,Bài 6: Mạng thông tin toàn cầu,Thông hiểu (Giải thích chức năng),true,4,6,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-QUESTIONING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":5,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":2,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""conversation_history (turn_index: 5)"",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa đưa ra câu trả lời tự suy luận rất chính xác ở lượt 5 ('Dạ không, phải là duy nhất ạ!'). Học sinh cần nhận được sự xác nhận đúng đắn từ gia sư để củng cố niềm tin kiến thức trước khi đi tiếp. Nếu bỏ nguyên tắc này: Một phản hồi bỏ qua câu trả lời của học sinh mà chuyển ngay sang giải thích hoặc hỏi câu khác sẽ làm mất đi tính tương tác hai chiều, khiến học sinh cảm thấy nỗ lực suy luận của mình không được ghi nhận."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0080-STT9-AI04,HNMU-G6-R0080-STT9,6,Bài 6: Mạng thông tin toàn cầu,Thông hiểu (Phát biểu được nhiệm vụ),true,2,4,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK"",""PRINCIPLE-QUESTIONING""]","[""PRINCIPLE-MODELLING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":4,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":3,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":4}","[{""evidence"":""conversation_history (turn_index: 3): Dạ rồi ạ."",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa xác nhận đã thực hiện xong bước kết nối mạng Wi-Fi. Phản hồi cần ghi nhận và xác nhận rằng học sinh đã thỏa mãn điều kiện kết nối Internet để làm bước đệm chuyển sang điều kiện tiếp theo. Nếu bỏ nguyên tắc này: Phản hồi sẽ bỏ qua thông tin phản hồi quan trọng của học sinh, làm mất đi tính tương tác hai chiều và không giúp học sinh liên kết các điều kiện cần thiết lại với nhau."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0083-STT12-AI04,HNMU-G6-R0083-STT12,6,Bài 6: Mạng thông tin toàn cầu,Vận dụng (Khai thác thông tin),true,2,4,middle,"[""PRINCIPLE-FEEDBACK"",""PRINCIPLE-QUESTIONING""]","[""PRINCIPLE-PRACTICE""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":2,""PRINCIPLE-FEEDBACK"":4,""PRINCIPLE-MODELLING"":2,""PRINCIPLE-PRACTICE"":3,""PRINCIPLE-QUESTIONING"":4}","[{""evidence"":""conversation_history lượt 3"",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh lớp 6 vừa tìm thấy giao diện \""ô trống để nhập từ\"" và cần sự xác nhận ngay lập tức từ gia sư rằng họ đã đi đúng hướng và tìm đúng tính năng của từ điển trực tuyến. Nếu bỏ nguyên tắc này: Gia sư bỏ qua việc công nhận kết quả tìm kiếm của học sinh mà chỉ đưa ra mệnh lệnh tiếp theo, điều này có thể khiến học sinh hoang mang, không chắc chắn liệu ô trống mình thấy có đúng là nơi cần nhập hay không."",""requirement_score"":4}]",,
