sample_id,suggested_quality_decision,confidence_score,main_failure_reasons,needs_hnmu_review,needs_learning_resource_review,needs_sgv_verification,source_checklist_rows,checked_by,checked_at
HNMU-G9-R0131-STT4,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0132-STT5,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0133-STT6,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0134-STT7,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0135-STT8,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0136-STT9,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0137-STT10,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0138-STT11,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0139-STT12,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0140-STT13,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0141-STT14,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0142-STT1,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0143-STT2,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0144-STT3,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0145-STT4,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0146-STT5,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0147-STT6,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0148-STT7,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0149-STT8,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0150-STT9,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0151-STT10,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0152-STT11,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0153-STT12,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0154-STT13,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0155-STT14,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0156-STT1,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0157-STT2,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0158-STT3,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0159-STT4,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0160-STT5,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0161-STT6,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0162-STT7,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0163-STT8,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0164-STT9,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0165-STT10,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0166-STT11,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0167-STT12,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0168-STT13,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0169-STT14,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0170-STT1,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0171-STT2,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0172-STT3,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0173-STT4,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0174-STT5,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0175-STT6,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0176-STT7,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0177-STT8,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0178-STT9,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-STR-04;RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0179-STT10,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0180-STT11,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0181-STT12,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0182-STT13,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0183-STT14,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0184-STT1,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0185-STT2,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0186-STT3,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0187-STT4,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0188-STT5,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0189-STT6,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0190-STT7,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0191-STT8,needs_hnmu_review,0.30,Hội thoại mất nhãn đầu dòng; cần xác nhận lại bản gốc trước khi chuyển đổi.,true,true,false,RAW-STR-03;RAW-STR-04;RAW-CON-01;RAW-CON-06;RAW-CON-07;RAW-PED-03;RAW-PED-04,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0192-STT9,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0193-STT10,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0194-STT11,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0195-STT12,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0196-STT13,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0197-STT14,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0198-STT1,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
HNMU-G9-R0199-STT2,needs_hnmu_review,0.56,Các tiêu chí CON-01/CON-06/CON-07 vẫn uncertain vì fragment học liệu draft/không có xác nhận cuối.,true,true,false,RAW-CON-01;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-03-grade8-9),2026-07-18T23:34:26+07:00
